turkid,name_distractor,sd_distractor,sd_distractor_label,target,memory_max,memory_min,memory_range,unpredictable,inconsistent
A2EVTBJG1Z9TCP,Red,Low,$\sigma = 1.1$,Red,27,19,8,2,5
A2EVTBJG1Z9TCP,Red,Low,$\sigma = 1.1$,White,25,18,7,5,3
A0017268R9SKD8U2Y3F,White,Low,$\sigma = 1.1$,Red,29,24,5,5,5
A0017268R9SKD8U2Y3F,White,Low,$\sigma = 1.1$,White,31,23,8,5,5
AITP2LUW8GPB,White,Low,$\sigma = 1.1$,Red,45,15,30,3,4
AITP2LUW8GPB,White,Low,$\sigma = 1.1$,White,35,10,25,4,4
AOZUMS41I24QI,Red,Med,$\sigma = 4.5$,Red,43,22,21,5,6
AOZUMS41I24QI,Red,Med,$\sigma = 4.5$,White,38,21,17,4,5
A1GRPIBHW72HDU,White,Med,$\sigma = 4.5$,Red,33,17,16,3,3
A1GRPIBHW72HDU,White,Med,$\sigma = 4.5$,White,34,18,16,2,2
A319A00WUMMU4R,Red,Med,$\sigma = 4.5$,Red,28,21,7,6,3
A319A00WUMMU4R,Red,Med,$\sigma = 4.5$,White,31,19,12,4,6
A21Y7K669KM1PR,Red,High,$\sigma = 7.5$,Red,38,16,22,2,2
A21Y7K669KM1PR,Red,High,$\sigma = 7.5$,White,38,13,25,5,4
AYBYMDBEBK5Z,White,Med,$\sigma = 4.5$,Red,34,19,15,5,5
AYBYMDBEBK5Z,White,Med,$\sigma = 4.5$,White,33,19,14,5,5
A2H4HYDU6FFAMQ,White,High,$\sigma = 7.5$,Red,30,13,17,7,6
A2H4HYDU6FFAMQ,White,High,$\sigma = 7.5$,White,29,10,19,6,5
A2I55CEBUNQ2SZ,White,High,$\sigma = 7.5$,Red,47,10,37,6,5
A2I55CEBUNQ2SZ,White,High,$\sigma = 7.5$,White,48,8,40,5,7
A15FXHC1CVNW31,White,High,$\sigma = 7.5$,Red,38,15,23,3,3
A15FXHC1CVNW31,White,High,$\sigma = 7.5$,White,35,18,17,3,3
A2QPMJ4GADLUW2,Red,High,$\sigma = 7.5$,Red,37,13,24,2,3
A2QPMJ4GADLUW2,Red,High,$\sigma = 7.5$,White,38,17,21,3,3
AIYEEGUR4FATL,Red,Med,$\sigma = 4.5$,Red,32,18,14,5,4
AIYEEGUR4FATL,Red,Med,$\sigma = 4.5$,White,34,19,15,5,4
A1V1Q9L3DG40WQ,Red,Med,$\sigma = 4.5$,Red,34,17,17,2,1
A1V1Q9L3DG40WQ,Red,Med,$\sigma = 4.5$,White,34,17,17,2,2
A1TM0YUPC90UFZ,White,High,$\sigma = 7.5$,Red,34,17,17,3,3
A1TM0YUPC90UFZ,White,High,$\sigma = 7.5$,White,37,13,24,2,2
AUDH0P4ZHJKS2,Red,Low,$\sigma = 1.1$,Red,33,17,16,3,5
AUDH0P4ZHJKS2,Red,Low,$\sigma = 1.1$,White,27,21,6,3,5
A1Y6HGDW6ZAYBY,Red,High,$\sigma = 7.5$,Red,34,15,19,2,2
A1Y6HGDW6ZAYBY,Red,High,$\sigma = 7.5$,White,33,15,18,2,2
A2HWIWF0EZP7BV,Red,Low,$\sigma = 1.1$,Red,29,19,10,5,3
A2HWIWF0EZP7BV,Red,Low,$\sigma = 1.1$,White,32,19,13,2,2
A24FIMMDV3QAZD,Red,Med,$\sigma = 4.5$,Red,50,25,25,4,4
A24FIMMDV3QAZD,Red,Med,$\sigma = 4.5$,White,50,25,25,4,4
A2DFXQ3QVQ9ELH,White,Low,$\sigma = 1.1$,Red,32,17,15,2,2
A2DFXQ3QVQ9ELH,White,Low,$\sigma = 1.1$,White,27,23,4,6,6
A33P3MP2KIC717,White,Med,$\sigma = 4.5$,Red,31,17,14,3,5
A33P3MP2KIC717,White,Med,$\sigma = 4.5$,White,35,15,20,3,5
A3LOLMFCFVCXSX,Red,High,$\sigma = 7.5$,Red,37,13,24,5,5
A3LOLMFCFVCXSX,Red,High,$\sigma = 7.5$,White,35,12,23,3,2
A1DXSFFL5HZ1NX,Red,Low,$\sigma = 1.1$,Red,29,19,10,5,5
A1DXSFFL5HZ1NX,Red,Low,$\sigma = 1.1$,White,34,18,16,2,2
A1B84JJ7ATWVJA,Red,High,$\sigma = 7.5$,Red,37,13,24,2,2
A1B84JJ7ATWVJA,Red,High,$\sigma = 7.5$,White,36,14,22,2,2
A2W5Q0IVJUS7Y6,White,Med,$\sigma = 4.5$,Red,24,21,3,5,5
A2W5Q0IVJUS7Y6,White,Med,$\sigma = 4.5$,White,32,17,15,3,3
A2OFN0A5CPLH57,Red,High,$\sigma = 7.5$,Red,38,13,25,3,2
A2OFN0A5CPLH57,Red,High,$\sigma = 7.5$,White,38,13,25,5,6
ADEMAGRRRGSPT,White,High,$\sigma = 7.5$,Red,36,15,21,3,3
ADEMAGRRRGSPT,White,High,$\sigma = 7.5$,White,38,14,24,2,2
A7BJQT4AKDHAO,White,Med,$\sigma = 4.5$,Red,31,17,14,3,3
A7BJQT4AKDHAO,White,Med,$\sigma = 4.5$,White,34,17,17,5,5
A21UA6O7ZFAIQJ,White,High,$\sigma = 7.5$,Red,34,18,16,5,5
A21UA6O7ZFAIQJ,White,High,$\sigma = 7.5$,White,38,18,20,5,6
A3RHFUBEK3JC4V,White,High,$\sigma = 7.5$,Red,33,20,13,3,3
A3RHFUBEK3JC4V,White,High,$\sigma = 7.5$,White,30,17,13,3,3
A1DSBBRZR3LWXP,White,Low,$\sigma = 1.1$,Red,34,19,15,2,2
A1DSBBRZR3LWXP,White,Low,$\sigma = 1.1$,White,29,24,5,5,5
A2PBIFYF14M5MD,White,Med,$\sigma = 4.5$,Red,34,17,17,5,4
A2PBIFYF14M5MD,White,Med,$\sigma = 4.5$,White,33,23,10,5,5
A2JGWDPGYD5X0N,Red,High,$\sigma = 7.5$,Red,38,11,27,2,2
A2JGWDPGYD5X0N,Red,High,$\sigma = 7.5$,White,38,14,24,2,2
A1GCTKOPKUTW3G,Red,High,$\sigma = 7.5$,Red,34,15,19,4,5
A1GCTKOPKUTW3G,Red,High,$\sigma = 7.5$,White,32,14,18,4,3
A3914P24XPNPY3,White,Low,$\sigma = 1.1$,Red,28,20,8,5,6
A3914P24XPNPY3,White,Low,$\sigma = 1.1$,White,28,22,6,5,6
ALSDYX3XI9565,Red,Low,$\sigma = 1.1$,Red,34,17,17,4,6
ALSDYX3XI9565,Red,Low,$\sigma = 1.1$,White,34,17,17,4,6
A3RS7UCO7CQ74R,Red,Med,$\sigma = 4.5$,Red,27,24,3,5,3
A3RS7UCO7CQ74R,Red,Med,$\sigma = 4.5$,White,27,24,3,5,3
A2311L4YQ9PP81,White,Low,$\sigma = 1.1$,Red,33,21,12,4,3
A2311L4YQ9PP81,White,Low,$\sigma = 1.1$,White,31,13,18,3,5
A1OZPLHNIU1519,White,Med,$\sigma = 4.5$,Red,33,17,16,3,3
A1OZPLHNIU1519,White,Med,$\sigma = 4.5$,White,34,19,15,6,6
A3K1PEC18VPAT8,White,High,$\sigma = 7.5$,Red,34,17,17,1,5
A3K1PEC18VPAT8,White,High,$\sigma = 7.5$,White,37,13,24,2,6
A14UUJMRQ6ULRV,White,Low,$\sigma = 1.1$,Red,34,24,10,2,1
A14UUJMRQ6ULRV,White,Low,$\sigma = 1.1$,White,34,17,17,5,3
A2VZIJ7AZ537QP,Red,Med,$\sigma = 4.5$,Red,28,18,10,4,4
A2VZIJ7AZ537QP,Red,Med,$\sigma = 4.5$,White,28,13,15,4,4
A1SWCB4QM0A1R8,White,Med,$\sigma = 4.5$,Red,34,19,15,5,5
A1SWCB4QM0A1R8,White,Med,$\sigma = 4.5$,White,25,23,2,2,2
A1DY3TBDY4VZG5,White,Low,$\sigma = 1.1$,Red,33,21,12,5,6
A1DY3TBDY4VZG5,White,Low,$\sigma = 1.1$,White,27,19,8,3,3
A2AEXHIIZTS1RR,Red,Med,$\sigma = 4.5$,Red,34,19,15,2,2
A2AEXHIIZTS1RR,Red,Med,$\sigma = 4.5$,White,34,17,17,2,2
A1KRO0JWU6LT0I,White,Med,$\sigma = 4.5$,Red,17,17,0,6,5
A1KRO0JWU6LT0I,White,Med,$\sigma = 4.5$,White,33,18,15,5,5
A1O4BHTTYNGNMK,Red,Med,$\sigma = 4.5$,Red,32,18,14,5,6
A1O4BHTTYNGNMK,Red,Med,$\sigma = 4.5$,White,31,17,14,3,3
A3D1KY32KA7US9,White,Low,$\sigma = 1.1$,Red,32,16,16,4,4
A3D1KY32KA7US9,White,Low,$\sigma = 1.1$,White,30,19,11,4,4
A22ZYDQ7VRH6EL,Red,Med,$\sigma = 4.5$,Red,31,18,13,2,2
A22ZYDQ7VRH6EL,Red,Med,$\sigma = 4.5$,White,18,18,0,3,3
A31D9Q3SUR0VUU,White,High,$\sigma = 7.5$,Red,36,12,24,4,4
A31D9Q3SUR0VUU,White,High,$\sigma = 7.5$,White,36,16,20,4,4
A19L8SNH73AX1Z,Red,High,$\sigma = 7.5$,Red,37,15,22,2,2
A19L8SNH73AX1Z,Red,High,$\sigma = 7.5$,White,35,13,22,2,2
