turkid,name_manipulated,sd_manipulated,is_manipulated,sd_manipulated_label,target,memory_max,memory_min,memory_range,unpredictable,inconsistent,valid_response
A2EVTBJG1Z9TCP,Red,Low,True,Low (SD = 1.1),Red,27,19,8,2,5,True
A2EVTBJG1Z9TCP,Red,Low,False,Low (SD = 1.1),White,25,18,7,5,3,True
A0017268R9SKD8U2Y3F,White,Low,False,Low (SD = 1.1),Red,29,24,5,5,5,True
A0017268R9SKD8U2Y3F,White,Low,True,Low (SD = 1.1),White,31,23,8,5,5,True
AITP2LUW8GPB,White,Low,False,Low (SD = 1.1),Red,45,15,30,3,4,True
AITP2LUW8GPB,White,Low,True,Low (SD = 1.1),White,35,10,25,4,4,True
AOZUMS41I24QI,Red,Med,True,Med (SD = 4.5),Red,43,22,21,5,6,True
AOZUMS41I24QI,Red,Med,False,Med (SD = 4.5),White,38,21,17,4,5,True
A1GRPIBHW72HDU,White,Med,False,Med (SD = 4.5),Red,33,17,16,3,3,True
A1GRPIBHW72HDU,White,Med,True,Med (SD = 4.5),White,34,18,16,2,2,True
A319A00WUMMU4R,Red,Med,True,Med (SD = 4.5),Red,28,21,7,6,3,True
A319A00WUMMU4R,Red,Med,False,Med (SD = 4.5),White,31,19,12,4,6,True
A21Y7K669KM1PR,Red,High,True,High (SD = 7.5),Red,38,16,22,2,2,True
A21Y7K669KM1PR,Red,High,False,High (SD = 7.5),White,38,13,25,5,4,True
AYBYMDBEBK5Z,White,Med,False,Med (SD = 4.5),Red,34,19,15,5,5,True
AYBYMDBEBK5Z,White,Med,True,Med (SD = 4.5),White,33,19,14,5,5,True
A2H4HYDU6FFAMQ,White,High,False,High (SD = 7.5),Red,30,13,17,7,6,True
A2H4HYDU6FFAMQ,White,High,True,High (SD = 7.5),White,29,10,19,6,5,True
A2I55CEBUNQ2SZ,White,High,False,High (SD = 7.5),Red,47,10,37,6,5,True
A2I55CEBUNQ2SZ,White,High,True,High (SD = 7.5),White,48,8,40,5,7,True
A15FXHC1CVNW31,White,High,False,High (SD = 7.5),Red,38,15,23,3,3,True
A15FXHC1CVNW31,White,High,True,High (SD = 7.5),White,35,18,17,3,3,True
A2QPMJ4GADLUW2,Red,High,True,High (SD = 7.5),Red,37,13,24,2,3,True
A2QPMJ4GADLUW2,Red,High,False,High (SD = 7.5),White,38,17,21,3,3,True
AIYEEGUR4FATL,Red,Med,True,Med (SD = 4.5),Red,32,18,14,5,4,True
AIYEEGUR4FATL,Red,Med,False,Med (SD = 4.5),White,34,19,15,5,4,True
A1V1Q9L3DG40WQ,Red,Med,True,Med (SD = 4.5),Red,34,17,17,2,1,True
A1V1Q9L3DG40WQ,Red,Med,False,Med (SD = 4.5),White,34,17,17,2,2,True
A1TM0YUPC90UFZ,White,High,False,High (SD = 7.5),Red,34,17,17,3,3,True
A1TM0YUPC90UFZ,White,High,True,High (SD = 7.5),White,37,13,24,2,2,True
AUDH0P4ZHJKS2,Red,Low,True,Low (SD = 1.1),Red,33,17,16,3,5,True
AUDH0P4ZHJKS2,Red,Low,False,Low (SD = 1.1),White,27,21,6,3,5,True
A1Y6HGDW6ZAYBY,Red,High,True,High (SD = 7.5),Red,34,15,19,2,2,True
A1Y6HGDW6ZAYBY,Red,High,False,High (SD = 7.5),White,33,15,18,2,2,True
A2HWIWF0EZP7BV,Red,Low,True,Low (SD = 1.1),Red,29,19,10,5,3,True
A2HWIWF0EZP7BV,Red,Low,False,Low (SD = 1.1),White,32,19,13,2,2,True
A24FIMMDV3QAZD,Red,Med,True,Med (SD = 4.5),Red,50,25,25,4,4,True
A24FIMMDV3QAZD,Red,Med,False,Med (SD = 4.5),White,50,25,25,4,4,True
A2DFXQ3QVQ9ELH,White,Low,False,Low (SD = 1.1),Red,32,17,15,2,2,True
A2DFXQ3QVQ9ELH,White,Low,True,Low (SD = 1.1),White,27,23,4,6,6,True
A33P3MP2KIC717,White,Med,False,Med (SD = 4.5),Red,31,17,14,3,5,True
A33P3MP2KIC717,White,Med,True,Med (SD = 4.5),White,35,15,20,3,5,True
A3LOLMFCFVCXSX,Red,High,True,High (SD = 7.5),Red,37,13,24,5,5,True
