StartDate,EndDate,Duration (in seconds),Finished,Cheapest_White,Priciest_White,Cheapest_Red,Priciest_Red,Unpredictable_Red,Inconsistent_Red,Unpredictable_White,Inconsistent_White,turkid,condid,first
13/03/2019 21:45,13/03/2019 21:46,21,1,18,25,19,27,34,37,37,35,A2EVTBJG1Z9TCP,3,White
13/03/2019 21:45,13/03/2019 21:46,25,1,23,31,24,29,37,37,37,37,A0017268R9SKD8U2Y3F,0,White
13/03/2019 21:46,13/03/2019 21:46,18,1,10,35,15,45,35,36,36,36,AITP2LUW8GPB,0,White
13/03/2019 21:46,13/03/2019 21:46,30,1,21,38,22,43,37,38,36,37,AOZUMS41I24QI,5,Red
13/03/2019 21:46,13/03/2019 21:46,39,1,18,34,17,33,35,35,34,34,A1GRPIBHW72HDU,2,Red
13/03/2019 21:46,13/03/2019 21:46,35,1,19,31,21,28,38,35,36,38,A319A00WUMMU4R,5,White
13/03/2019 21:46,13/03/2019 21:46,36,1,13,38,16,38,34,34,37,36,A21Y7K669KM1PR,4,White
13/03/2019 21:46,13/03/2019 21:46,34,1,19,33,19,34,37,37,37,37,AYBYMDBEBK5Z,2,White
13/03/2019 21:46,13/03/2019 21:46,14,1,10,29,13,30,39,38,38,37,A2H4HYDU6FFAMQ,1,Red
13/03/2019 21:46,13/03/2019 21:46,47,1,8,48,10,47,38,37,37,39,A2I55CEBUNQ2SZ,1,Red
13/03/2019 21:46,13/03/2019 21:46,30,1,18,35,15,38,35,35,35,35,A15FXHC1CVNW31,1,Red
13/03/2019 21:46,13/03/2019 21:47,52,1,17,38,13,37,34,35,35,35,A2QPMJ4GADLUW2,4,Red
13/03/2019 21:46,13/03/2019 21:47,36,1,19,34,18,32,37,36,37,36,AIYEEGUR4FATL,5,Red
13/03/2019 21:46,13/03/2019 21:47,36,1,17,34,17,34,34,33,34,34,A1V1Q9L3DG40WQ,5,Red
13/03/2019 21:46,13/03/2019 21:47,34,1,13,37,17,34,35,35,34,34,A1TM0YUPC90UFZ,1,White
13/03/2019 21:46,13/03/2019 21:47,22,1,21,27,17,33,35,37,35,37,AUDH0P4ZHJKS2,3,Red
13/03/2019 21:46,13/03/2019 21:47,30,1,15,33,15,34,34,34,34,34,A1Y6HGDW6ZAYBY,4,White
13/03/2019 21:46,13/03/2019 21:47,52,1,19,32,19,29,37,35,34,34,A2HWIWF0EZP7BV,3,White
13/03/2019 21:46,13/03/2019 21:47,56,1,25,50,25,50,36,36,36,36,A24FIMMDV3QAZD,5,White
13/03/2019 21:46,13/03/2019 21:47,37,1,23,27,17,32,34,34,38,38,A2DFXQ3QVQ9ELH,0,White
13/03/2019 21:46,13/03/2019 21:47,41,1,15,35,17,31,35,37,35,37,A33P3MP2KIC717,2,Red
13/03/2019 21:46,13/03/2019 21:47,51,1,12,35,13,37,37,37,35,34,A3LOLMFCFVCXSX,4,Red
13/03/2019 21:46,13/03/2019 21:47,34,1,18,34,19,29,37,37,34,34,A1DXSFFL5HZ1NX,3,Red
13/03/2019 21:46,13/03/2019 21:47,40,1,14,36,13,37,34,34,34,34,A1B84JJ7ATWVJA,4,Red
13/03/2019 21:46,13/03/2019 21:47,43,1,17,32,21,24,37,37,35,35,A2W5Q0IVJUS7Y6,2,White
13/03/2019 21:46,13/03/2019 21:47,29,1,13,38,13,38,35,34,37,38,A2OFN0A5CPLH57,4,White
13/03/2019 21:46,13/03/2019 21:47,46,1,14,38,15,36,35,35,34,34,ADEMAGRRRGSPT,1,White
13/03/2019 21:46,13/03/2019 21:47,45,1,17,34,17,31,35,35,37,37,A7BJQT4AKDHAO,2,White
13/03/2019 21:46,13/03/2019 21:47,55,1,18,38,18,34,37,37,37,38,A21UA6O7ZFAIQJ,1,Red
13/03/2019 21:46,13/03/2019 21:47,47,1,17,30,20,33,35,35,35,35,A3RHFUBEK3JC4V,1,White
13/03/2019 21:47,13/03/2019 21:47,27,1,24,29,19,34,34,34,37,37,A1DSBBRZR3LWXP,0,White
13/03/2019 21:46,13/03/2019 21:47,39,1,23,33,17,34,37,36,37,37,A2PBIFYF14M5MD,2,White
13/03/2019 21:46,13/03/2019 21:47,38,1,14,38,11,38,34,34,34,34,A2JGWDPGYD5X0N,4,Red
13/03/2019 21:47,13/03/2019 21:47,27,1,14,32,15,34,36,37,36,35,A1GCTKOPKUTW3G,4,Red
13/03/2019 21:47,13/03/2019 21:47,18,1,22,28,20,28,37,38,37,38,A3914P24XPNPY3,0,White
13/03/2019 21:46,13/03/2019 21:47,41,1,17,34,17,34,36,38,36,38,ALSDYX3XI9565,3,Red
13/03/2019 21:47,13/03/2019 21:47,21,1,24,27,24,27,37,35,37,35,A3RS7UCO7CQ74R,5,White
13/03/2019 21:46,13/03/2019 21:47,56,1,13,31,21,33,36,35,35,37,A2311L4YQ9PP81,0,White
13/03/2019 21:47,13/03/2019 21:47,44,1,19,34,17,33,35,35,38,38,A1OZPLHNIU1519,2,White
13/03/2019 21:47,13/03/2019 21:47,25,1,13,37,17,34,33,37,34,38,A3K1PEC18VPAT8,1,White
13/03/2019 21:47,13/03/2019 21:47,44,1,17,34,24,34,34,33,37,35,A14UUJMRQ6ULRV,0,White
13/03/2019 21:47,13/03/2019 21:47,38,1,13,28,18,28,36,36,36,36,A2VZIJ7AZ537QP,5,Red
13/03/2019 21:46,13/03/2019 21:47,56,1,23,25,19,34,37,37,34,34,A1SWCB4QM0A1R8,2,Red
13/03/2019 21:47,13/03/2019 21:47,27,1,19,27,21,33,37,38,35,35,A1DY3TBDY4VZG5,0,White
13/03/2019 21:47,13/03/2019 21:47,38,1,17,34,19,34,34,34,34,34,A2AEXHIIZTS1RR,5,White
13/03/2019 21:47,13/03/2019 21:47,36,1,18,33,17,17,38,37,37,37,A1KRO0JWU6LT0I,2,Red
13/03/2019 21:47,13/03/2019 21:47,55,1,17,31,18,32,37,38,35,35,A1O4BHTTYNGNMK,5,White
13/03/2019 21:47,13/03/2019 21:47,33,1,19,30,16,32,36,36,36,36,A3D1KY32KA7US9,0,White
13/03/2019 21:47,13/03/2019 21:48,53,1,18,18,18,31,34,34,35,35,A22ZYDQ7VRH6EL,5,White
13/03/2019 21:47,13/03/2019 21:48,28,1,16,36,12,36,36,36,36,36,A31D9Q3SUR0VUU,1,Red
13/03/2019 21:46,13/03/2019 21:48,62,1,13,35,15,37,34,34,34,34,A19L8SNH73AX1Z,4,Red
13/03/2019 21:47,13/03/2019 21:48,18,1,15,29,18,38,36,36,36,36,AOBTFLJU2BEPR,1,Red
