pid,turkid,similarity,item,sd_item_one,sd_item_two,mean_item_one,mean_item_two,sd_focal,sd_other,mean_focal,mean_other,value_id,value
147,A3GK9LWMSDH4P9,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,0,19
147,A3GK9LWMSDH4P9,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,1,19
147,A3GK9LWMSDH4P9,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,2,21
147,A3GK9LWMSDH4P9,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,3,21
147,A3GK9LWMSDH4P9,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,4,21
147,A3GK9LWMSDH4P9,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,5,21
147,A3GK9LWMSDH4P9,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,6,21
147,A3GK9LWMSDH4P9,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,7,21
147,A3GK9LWMSDH4P9,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,8,23
147,A3GK9LWMSDH4P9,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,9,23
147,A3GK9LWMSDH4P9,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,10,23
147,A3GK9LWMSDH4P9,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,11,23
147,A3GK9LWMSDH4P9,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,12,23
147,A3GK9LWMSDH4P9,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,13,23
147,A3GK9LWMSDH4P9,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,14,23
147,A3GK9LWMSDH4P9,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,15,23
147,A3GK9LWMSDH4P9,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,16,23
147,A3GK9LWMSDH4P9,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,17,25
147,A3GK9LWMSDH4P9,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,18,25
147,A3GK9LWMSDH4P9,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,19,25
147,A3GK9LWMSDH4P9,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,20,25
147,A3GK9LWMSDH4P9,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,21,25
147,A3GK9LWMSDH4P9,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,22,25
147,A3GK9LWMSDH4P9,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,23,27
147,A3GK9LWMSDH4P9,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,24,27
5,A9O273N0X06JS,Similar,item_one,High,Low,23.0,28.0,High,Low,23.0,28.0,0,5
5,A9O273N0X06JS,Similar,item_one,High,Low,23.0,28.0,High,Low,23.0,28.0,1,11
5,A9O273N0X06JS,Similar,item_one,High,Low,23.0,28.0,High,Low,23.0,28.0,2,13
5,A9O273N0X06JS,Similar,item_one,High,Low,23.0,28.0,High,Low,23.0,28.0,3,15
5,A9O273N0X06JS,Similar,item_one,High,Low,23.0,28.0,High,Low,23.0,28.0,4,15
5,A9O273N0X06JS,Similar,item_one,High,Low,23.0,28.0,High,Low,23.0,28.0,5,15
5,A9O273N0X06JS,Similar,item_one,High,Low,23.0,28.0,High,Low,23.0,28.0,6,17
5,A9O273N0X06JS,Similar,item_one,High,Low,23.0,28.0,High,Low,23.0,28.0,7,17
5,A9O273N0X06JS,Similar,item_one,High,Low,23.0,28.0,High,Low,23.0,28.0,8,19
5,A9O273N0X06JS,Similar,item_one,High,Low,23.0,28.0,High,Low,23.0,28.0,9,21
5,A9O273N0X06JS,Similar,item_one,High,Low,23.0,28.0,High,Low,23.0,28.0,10,21
5,A9O273N0X06JS,Similar,item_one,High,Low,23.0,28.0,High,Low,23.0,28.0,11,21
5,A9O273N0X06JS,Similar,item_one,High,Low,23.0,28.0,High,Low,23.0,28.0,12,23
5,A9O273N0X06JS,Similar,item_one,High,Low,23.0,28.0,High,Low,23.0,28.0,13,23
5,A9O273N0X06JS,Similar,item_one,High,Low,23.0,28.0,High,Low,23.0,28.0,14,23
5,A9O273N0X06JS,Similar,item_one,High,Low,23.0,28.0,High,Low,23.0,28.0,15,25
5,A9O273N0X06JS,Similar,item_one,High,Low,23.0,28.0,High,Low,23.0,28.0,16,25
5,A9O273N0X06JS,Similar,item_one,High,Low,23.0,28.0,High,Low,23.0,28.0,17,25
5,A9O273N0X06JS,Similar,item_one,High,Low,23.0,28.0,High,Low,23.0,28.0,18,27
5,A9O273N0X06JS,Similar,item_one,High,Low,23.0,28.0,High,Low,23.0,28.0,19,27
5,A9O273N0X06JS,Similar,item_one,High,Low,23.0,28.0,High,Low,23.0,28.0,20,29
5,A9O273N0X06JS,Similar,item_one,High,Low,23.0,28.0,High,Low,23.0,28.0,21,29
5,A9O273N0X06JS,Similar,item_one,High,Low,23.0,28.0,High,Low,23.0,28.0,22,31
5,A9O273N0X06JS,Similar,item_one,High,Low,23.0,28.0,High,Low,23.0,28.0,23,33
5,A9O273N0X06JS,Similar,item_one,High,Low,23.0,28.0,High,Low,23.0,28.0,24,41
466,A3N7R7P9HP2YB6,Dissimilar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,0,21
466,A3N7R7P9HP2YB6,Dissimilar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,1,21
466,A3N7R7P9HP2YB6,Dissimilar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,2,21
466,A3N7R7P9HP2YB6,Dissimilar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,3,21
466,A3N7R7P9HP2YB6,Dissimilar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,4,21
466,A3N7R7P9HP2YB6,Dissimilar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,5,21
466,A3N7R7P9HP2YB6,Dissimilar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,6,23
466,A3N7R7P9HP2YB6,Dissimilar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,7,23
466,A3N7R7P9HP2YB6,Dissimilar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,8,23
466,A3N7R7P9HP2YB6,Dissimilar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,9,23
466,A3N7R7P9HP2YB6,Dissimilar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,10,23
466,A3N7R7P9HP2YB6,Dissimilar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,11,23
466,A3N7R7P9HP2YB6,Dissimilar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,12,23
