turkid,name_manipulated,is_manipulated,sd_manipulated,is_first,value_id,value
A1VS6EMNFUL56K,White,True,Low,True,0,19
A1VS6EMNFUL56K,White,True,Low,True,1,19
A1VS6EMNFUL56K,White,True,Low,True,2,19
A1VS6EMNFUL56K,White,True,Low,True,3,31
A1VS6EMNFUL56K,White,True,Low,True,4,31
A1VS6EMNFUL56K,White,True,Low,True,5,31
A1VS6EMNFUL56K,White,True,Low,True,6,31
A1VS6EMNFUL56K,White,True,Low,True,7,35
A1VS6EMNFUL56K,White,True,Low,True,8,35
A1VS6EMNFUL56K,White,True,Low,True,9,35
A1VS6EMNFUL56K,White,True,Low,True,10,35
A1VS6EMNFUL56K,White,True,Low,True,11,35
A1VS6EMNFUL56K,White,True,Low,True,12,35
A1VS6EMNFUL56K,White,True,Low,True,13,35
A1VS6EMNFUL56K,White,True,Low,True,14,35
A1VS6EMNFUL56K,White,True,Low,True,15,37
A1VS6EMNFUL56K,White,True,Low,True,16,37
A1VS6EMNFUL56K,White,True,Low,True,17,37
A1VS6EMNFUL56K,White,True,Low,True,18,37
A1VS6EMNFUL56K,White,True,Low,True,19,37
A1VS6EMNFUL56K,White,True,Low,True,20,39
A1VS6EMNFUL56K,White,True,Low,True,21,39
A1VS6EMNFUL56K,White,True,Low,True,22,39
A1VS6EMNFUL56K,White,True,Low,True,23,39
A1VS6EMNFUL56K,White,True,Low,True,24,39
A1VS6EMNFUL56K,White,True,Low,True,25,39
A1S7STIOUR0B0N,White,True,High,True,0,15
A1S7STIOUR0B0N,White,True,High,True,1,17
A1S7STIOUR0B0N,White,True,High,True,2,17
A1S7STIOUR0B0N,White,True,High,True,3,19
A1S7STIOUR0B0N,White,True,High,True,4,21
A1S7STIOUR0B0N,White,True,High,True,5,21
A1S7STIOUR0B0N,White,True,High,True,6,23
A1S7STIOUR0B0N,White,True,High,True,7,23
A1S7STIOUR0B0N,White,True,High,True,8,23
A1S7STIOUR0B0N,White,True,High,True,9,23
A1S7STIOUR0B0N,White,True,High,True,10,25
A1S7STIOUR0B0N,White,True,High,True,11,25
A1S7STIOUR0B0N,White,True,High,True,12,25
A1S7STIOUR0B0N,White,True,High,True,13,27
A1S7STIOUR0B0N,White,True,High,True,14,27
A1S7STIOUR0B0N,White,True,High,True,15,27
A1S7STIOUR0B0N,White,True,High,True,16,29
A1S7STIOUR0B0N,White,True,High,True,17,29
A1S7STIOUR0B0N,White,True,High,True,18,29
A1S7STIOUR0B0N,White,True,High,True,19,31
A1S7STIOUR0B0N,White,True,High,True,20,31
A1S7STIOUR0B0N,White,True,High,True,21,33
A1S7STIOUR0B0N,White,True,High,True,22,33
A1S7STIOUR0B0N,White,True,High,True,23,35
A1S7STIOUR0B0N,White,True,High,True,24,35
A1S7STIOUR0B0N,White,True,High,True,25,37
A1MWPAR07F0Q0O,White,True,Low,True,0,23
A1MWPAR07F0Q0O,White,True,Low,True,1,23
A1MWPAR07F0Q0O,White,True,Low,True,2,23
A1MWPAR07F0Q0O,White,True,Low,True,3,23
A1MWPAR07F0Q0O,White,True,Low,True,4,23
A1MWPAR07F0Q0O,White,True,Low,True,5,23
A1MWPAR07F0Q0O,White,True,Low,True,6,23
A1MWPAR07F0Q0O,White,True,Low,True,7,23
A1MWPAR07F0Q0O,White,True,Low,True,8,23
A1MWPAR07F0Q0O,White,True,Low,True,9,25
A1MWPAR07F0Q0O,White,True,Low,True,10,25
A1MWPAR07F0Q0O,White,True,Low,True,11,25
A1MWPAR07F0Q0O,White,True,Low,True,12,25
A1MWPAR07F0Q0O,White,True,Low,True,13,25
A1MWPAR07F0Q0O,White,True,Low,True,14,25
A1MWPAR07F0Q0O,White,True,Low,True,15,25
A1MWPAR07F0Q0O,White,True,Low,True,16,25
A1MWPAR07F0Q0O,White,True,Low,True,17,25
A1MWPAR07F0Q0O,White,True,Low,True,18,27
A1MWPAR07F0Q0O,White,True,Low,True,19,27
A1MWPAR07F0Q0O,White,True,Low,True,20,27
A1MWPAR07F0Q0O,White,True,Low,True,21,27
