turkid,label_category,condition,memory_avg,memory_min,below_true_min,picklikelihood_1,picklikelihood_2,picklikelihood_3,picklikelihood_4,picklikelihood_5
R_23KLIK9wDEFHelr,Colorado,Higher dispersion,315.0,200.0,1,1.0,2.0,2.0,2.0,3.0
R_2AFRwmmkgl6ODeU,Colorado,Higher dispersion,330.0,260.0,0,1.0,3.0,1.0,1.0,3.0
R_ZehXt6VHkjiwp7b,Florida,Equal dispersion,320.0,240.0,0,1.0,2.0,3.0,3.0,3.0
R_31mXuEBPkGx1XZs,Colorado,Higher dispersion,300.0,240.0,0,1.0,2.0,2.0,2.0,3.0
R_1mFr5M03MNb0inb,Florida,Higher dispersion,300.0,280.0,0,0.0,1.0,2.0,3.0,3.0
R_A1l58vFetI5vacV,Colorado,Equal dispersion,320.0,240.0,0,3.0,3.0,3.0,3.0,3.0
R_0lHEWZRHI7AdsHf,Florida,Higher dispersion,300.0,240.0,0,-2.0,-2.0,-2.0,-2.0,-1.0
R_1BRtqvcxdCSqKKl,Colorado,Equal dispersion,300.0,240.0,0,2.0,3.0,3.0,3.0,3.0
R_2OOpYvVLonGo1N6,Florida,Higher dispersion,300.0,180.0,1,1.0,1.0,1.0,1.0,1.0
R_2cBZUPnfiSEFJgX,Colorado,Higher dispersion,290.0,220.0,1,1.0,2.0,3.0,3.0,3.0
R_DjUsXdfUlKCijEl,Colorado,Equal dispersion,320.0,240.0,0,1.0,2.0,3.0,3.0,3.0
R_3HjDB0rE3ulq0ST,Colorado,Equal dispersion,340.0,260.0,0,3.0,3.0,3.0,3.0,3.0
R_1IyNd3kO4wAj6mq,Colorado,Equal dispersion,300.0,240.0,0,-3.0,1.0,2.0,3.0,3.0
R_R1VLcxUdqrWHpFD,Florida,Higher dispersion,300.0,140.0,1,1.0,2.0,2.0,2.0,2.0
R_3QW9f04nreFXiKM,Florida,Higher dispersion,320.0,300.0,0,3.0,2.0,2.0,3.0,3.0
R_ONbhvd9jsRbltct,Florida,Higher dispersion,300.0,180.0,1,-1.0,-1.0,-1.0,-1.0,-1.0
R_1k1R1dzLt9DMF8r,Colorado,Higher dispersion,280.0,200.0,1,-2.0,-2.0,-2.0,-1.0,-1.0
R_sbaIYa7DQ9h1KSJ,Colorado,Equal dispersion,340.0,260.0,0,2.0,3.0,3.0,3.0,3.0
R_2v7DRNr7QC7y5VI,Florida,Higher dispersion,380.0,280.0,0,3.0,3.0,3.0,3.0,3.0
R_cISPzTW9hUH1mHT,Florida,Equal dispersion,250.0,320.0,0,2.0,2.0,3.0,2.0,2.0
R_3KBWdWPdRRD8fk4,Colorado,Equal dispersion,350.0,280.0,0,1.0,2.0,2.0,3.0,3.0
R_3NRthIc0U8gi5el,Florida,Equal dispersion,300.0,240.0,0,1.0,2.0,3.0,3.0,3.0
R_10IrcyDWuUnO1Zl,Florida,Equal dispersion,300.0,260.0,0,-1.0,3.0,3.0,3.0,3.0
R_2uyoT1JqhfJRzmx,Colorado,Higher dispersion,250.0,180.0,1,-2.0,-2.0,-2.0,1.0,2.0
R_1onKIfoCaibDEbA,Colorado,Equal dispersion,330.0,260.0,0,3.0,3.0,3.0,3.0,3.0
R_23fx0In2yASRPuA,Colorado,Higher dispersion,300.0,280.0,0,-1.0,1.0,1.0,1.0,1.0
R_1LkADTovQ5aLE0z,Colorado,Higher dispersion,300.0,240.0,0,1.0,1.0,3.0,3.0,3.0
R_3qKfiYTBSqfvBsa,Florida,Higher dispersion,250.0,200.0,1,-1.0,-1.0,-1.0,-1.0,0.0
R_3rABY0WTUY0JjLr,Colorado,Equal dispersion,400.0,260.0,0,2.0,3.0,3.0,3.0,3.0
R_1mQbD3MbNqWqz7J,Florida,Higher dispersion,300.0,320.0,0,-3.0,1.0,2.0,2.0,2.0
R_2X7L8yoVxxrhk7P,Florida,Higher dispersion,280.0,140.0,1,2.0,1.0,3.0,3.0,3.0
R_3D59rJPxQ5B9Czs,Colorado,Equal dispersion,290.0,200.0,1,-1.0,-1.0,0.0,1.0,2.0
R_3O8553F6h9Jyr1F,Florida,Higher dispersion,340.0,160.0,1,1.0,1.0,2.0,2.0,3.0
R_SD9HrnDbEWUdTln,Colorado,Equal dispersion,300.0,240.0,0,-2.0,2.0,3.0,3.0,3.0
R_OdszCW76dUbswbD,Florida,Equal dispersion,300.0,240.0,0,2.0,3.0,3.0,3.0,3.0
R_291e2CRpSRxzd4m,Colorado,Higher dispersion,380.0,180.0,1,1.0,1.0,2.0,3.0,3.0
R_O3AIE4pGZugtc2t,Florida,Equal dispersion,320.0,260.0,0,-1.0,1.0,2.0,3.0,3.0
R_2CTaEEIQQs00QId,Florida,Higher dispersion,340.0,280.0,0,2.0,2.0,2.0,3.0,3.0
R_1pyvwF5sJ6pVduk,Colorado,Equal dispersion,320.0,240.0,0,1.0,2.0,3.0,3.0,3.0
R_1dz72QYijRduKbM,Colorado,Equal dispersion,300.0,260.0,0,-1.0,-1.0,1.0,2.0,3.0
R_3KvzmrirYlL3hh4,Florida,Higher dispersion,360.0,280.0,0,2.0,2.0,2.0,3.0,3.0
R_3fW9dfz5Q0PacLr,Florida,Higher dispersion,340.0,280.0,0,1.0,1.0,2.0,2.0,3.0
R_9pC7UplmTO5HnHz,Colorado,Equal dispersion,340.0,260.0,0,-2.0,-2.0,1.0,-2.0,1.0
R_3I4eGsnrcRzMUtb,Florida,Equal dispersion,300.0,280.0,0,2.0,2.0,2.0,0.0,1.0
R_1eOAkUKxoNmAyYj,Florida,Equal dispersion,320.0,200.0,1,-1.0,-2.0,-2.0,-2.0,-2.0
R_bPzvrmkTWQ7w65z,Colorado,Higher dispersion,300.0,180.0,1,-1.0,0.0,1.0,2.0,3.0
R_2X7gx0V4sQFAFTU,Colorado,Higher dispersion,280.0,120.0,1,-2.0,-2.0,-1.0,-1.0,0.0
R_2ZVuOdCSQn30rLg,Florida,Higher dispersion,230.0,220.0,1,1.0,1.0,2.0,3.0,0.0
R_1ptmGywaMwieATV,Colorado,Equal dispersion,300.0,240.0,0,1.0,2.0,3.0,3.0,3.0
R_31S4BycGpuvZu8C,Florida,Equal dispersion,300.0,240.0,0,-2.0,-2.0,-2.0,-2.0,-2.0
R_3iwXPwButd8JvTJ,Florida,Higher dispersion,220.0,160.0,1,-1.0,-1.0,-1.0,-1.0,1.0
R_3GpqIMQg6FDA7tH,Florida,Equal dispersion,360.0,300.0,0,0.0,1.0,2.0,3.0,3.0
R_XXteO1w6oRqHwdj,Colorado,Equal dispersion,300.0,240.0,0,-1.0,2.0,3.0,3.0,3.0
R_eQ0iw0AVxsRlFV7,Colorado,Higher dispersion,320.0,280.0,0,2.0,3.0,3.0,3.0,3.0
R_1etPB9nGaNrBVnr,Colorado,Equal dispersion,300.0,240.0,0,1.0,1.0,3.0,3.0,3.0
R_33eBNPKAekNQ8a9,Florida,Equal dispersion,320.0,240.0,0,2.0,1.0,3.0,3.0,3.0
R_1pJUqjhtXgmJU1z,Colorado,Higher dispersion,275.0,130.0,1,-1.0,-1.0,-1.0,-1.0,-1.0
R_3iW3LV9UiK9iyLO,Colorado,Equal dispersion,320.0,240.0,0,2.0,1.0,1.0,1.0,1.0
R_2E00k082pu9b18v,Florida,Equal dispersion,280.0,240.0,0,-1.0,1.0,-3.0,0.0,3.0
R_1j88Yt96O1Nl29w,Florida,Equal dispersion,320.0,240.0,0,2.0,3.0,3.0,3.0,3.0
R_W7JRCG4q0GCVV8R,Florida,Higher dispersion,300.0,280.0,0,2.0,0.0,3.0,3.0,3.0
R_1EYHJy0AfwHsLsY,Florida,Equal dispersion,320.0,240.0,0,1.0,2.0,3.0,3.0,3.0
R_1QtJmdQcPqyEtHi,Colorado,Equal dispersion,320.0,260.0,0,1.0,1.0,1.0,1.0,1.0
R_32Rqt8HbVKSuShQ,Florida,Equal dispersion,340.0,280.0,0,-3.0,-1.0,0.0,0.0,1.0
R_3NxpdB7aCsogrIP,Florida,Higher dispersion,360.0,160.0,1,2.0,2.0,2.0,2.0,3.0
R_2B8PAK3fCoReqXo,Colorado,Equal dispersion,300.0,240.0,0,0.0,1.0,3.0,3.0,3.0
R_1ojPvOcHO4vb4ly,Colorado,Higher dispersion,340.0,280.0,0,1.0,2.0,2.0,2.0,3.0
R_1rCkQlgLhTyhbDN,Colorado,Equal dispersion,300.0,240.0,0,2.0,3.0,3.0,3.0,3.0
R_ZvMMpBhVG2nSy9H,Florida,Equal dispersion,300.0,240.0,0,-1.0,1.0,3.0,3.0,3.0
R_vuVbTL88aVM1fIB,Colorado,Higher dispersion,290.0,220.0,1,2.0,2.0,3.0,3.0,3.0
R_1LBxnrO0HOPNk0y,Colorado,Equal dispersion,340.0,240.0,0,1.0,2.0,3.0,3.0,3.0
R_3OeOhSN3syk2DMU,Florida,Higher dispersion,300.0,280.0,0,3.0,3.0,3.0,3.0,3.0
R_1P653iR0nPFH5cv,Florida,Higher dispersion,300.0,140.0,1,-1.0,-1.0,-1.0,-1.0,0.0
R_3pclVaRjrq4KCdc,Florida,Higher dispersion,300.0,240.0,0,3.0,3.0,3.0,3.0,3.0
R_yEp9fS3YojgcT17,Colorado,Higher dispersion,320.0,290.0,0,2.0,3.0,3.0,3.0,3.0
R_2YEN6K0RDkMnNMt,Colorado,Higher dispersion,340.0,240.0,0,2.0,3.0,3.0,3.0,3.0
R_r285DeFpv2e2pBT,Colorado,Higher dispersion,240.0,160.0,1,1.0,3.0,3.0,3.0,3.0
R_3NEaFJxSq3ga77J,Colorado,Equal dispersion,320.0,280.0,0,3.0,3.0,3.0,3.0,3.0
R_25AfB77AXEoPeBv,Florida,Higher dispersion,340.0,280.0,0,1.0,1.0,1.0,1.0,2.0
R_WAnZWFrHUDUrEqJ,Colorado,Higher dispersion,260.0,220.0,1,-1.0,1.0,2.0,3.0,3.0
R_1ImIXCWpBZftLLy,Florida,Equal dispersion,300.0,220.0,1,3.0,3.0,3.0,3.0,3.0
R_1OJ1VnudITVEwuU,Colorado,Equal dispersion,310.0,240.0,0,1.0,3.0,3.0,3.0,3.0
R_3MiBDNXX6cVtmYT,Colorado,Equal dispersion,300.0,240.0,0,2.0,3.0,3.0,3.0,3.0
R_1E3S2ocVnVyPUih,Florida,Higher dispersion,250.0,160.0,1,-1.0,-1.0,-1.0,-1.0,1.0
R_2WYn2kpCuJYPAYv,Colorado,Equal dispersion,300.0,240.0,0,-1.0,1.0,1.0,2.0,3.0
R_2aS9C55vERbzxCw,Colorado,Equal dispersion,300.0,240.0,0,-3.0,-3.0,-3.0,-3.0,-3.0
R_DcL290L1YTVoaMF,Florida,Equal dispersion,25.0,25.0,1,1.0,0.0,0.0,1.0,-1.0
R_1Cw2St3MB1zOJ11,Florida,Higher dispersion,230.0,220.0,1,1.0,1.0,0.0,3.0,-1.0
R_vpKl4RCXAcnW1A5,Florida,Higher dispersion,300.0,140.0,1,-2.0,-2.0,-2.0,-2.0,-2.0
R_3lVLAR0nDfrtW7y,Florida,Higher dispersion,300.0,140.0,1,1.0,1.0,1.0,2.0,3.0
R_3k5Fk412PzEyJiJ,Colorado,Higher dispersion,328.0,140.0,1,3.0,-2.0,-1.0,0.0,1.0
R_241cxZ58Xd20eGf,Colorado,Higher dispersion,250.0,200.0,1,0.0,1.0,0.0,-1.0,-1.0
R_2zveUTTKlMPzmbv,Florida,Higher dispersion,350.0,180.0,1,-1.0,-3.0,-3.0,-3.0,-3.0
R_10U9mCPf4WpIsfo,Colorado,Equal dispersion,300.0,260.0,0,-3.0,3.0,3.0,3.0,3.0
R_1NyvakroZaLrWrg,Colorado,Equal dispersion,320.0,260.0,0,2.0,3.0,3.0,3.0,3.0
R_1lB5hyW5hSO8kW3,Colorado,Higher dispersion,330.0,280.0,0,-1.0,2.0,3.0,3.0,3.0
R_2xEvnhH5bMVz4SN,Colorado,Equal dispersion,320.0,320.0,0,-1.0,2.0,3.0,3.0,3.0
R_2Ufs6Umj5cdY3J4,Florida,Higher dispersion,320.0,220.0,1,1.0,1.0,2.0,2.0,2.0
R_2qdzlNdzYj0nUAd,Florida,Higher dispersion,400.0,120.0,1,2.0,2.0,3.0,3.0,3.0
R_1GIkGGquXHfc3ch,Colorado,Higher dispersion,275.0,140.0,1,-2.0,-2.0,-1.0,-1.0,-1.0
R_2fB7STrFi1jqVHJ,Florida,Equal dispersion,300.0,240.0,0,1.0,2.0,3.0,3.0,3.0
R_1JV2vBvh4WNIgRg,Florida,Equal dispersion,310.0,260.0,0,2.0,2.0,3.0,3.0,3.0
R_3JIsNnNRiYmWLT0,Florida,Higher dispersion,320.0,280.0,0,2.0,3.0,3.0,3.0,3.0
R_0oH9aZbPhfpiMnL,Florida,Higher dispersion,300.0,480.0,0,2.0,3.0,0.0,1.0,2.0
R_2OMB3kK7XLlbd71,Florida,Higher dispersion,300.0,280.0,0,3.0,3.0,3.0,3.0,3.0
R_3k18vpD6bFv2XuA,Colorado,Higher dispersion,300.0,180.0,1,1.0,2.0,2.0,2.0,2.0
R_2YSasUSvJ1aggJf,Colorado,Equal dispersion,285.0,240.0,0,2.0,1.0,2.0,3.0,3.0
R_2YYssa1zbtOrPme,Florida,Higher dispersion,200.0,100.0,1,-1.0,-1.0,-1.0,-1.0,1.0
R_1mFeyqcweX1UabC,Colorado,Equal dispersion,300.0,260.0,0,1.0,2.0,2.0,3.0,3.0
R_2TZu3akbrWDcIQ0,Colorado,Equal dispersion,280.0,240.0,0,2.0,0.0,2.0,1.0,2.0
R_2saKjDU86DPMvva,Florida,Equal dispersion,310.0,240.0,0,1.0,1.0,3.0,3.0,3.0
R_4MKe65TVgxxVGkV,Colorado,Equal dispersion,340.0,260.0,0,2.0,2.0,2.0,2.0,2.0
R_tGKFxGNim4O57KF,Florida,Higher dispersion,300.0,160.0,1,-2.0,-1.0,-1.0,-1.0,1.0
R_1GII1IiQPsPq3iu,Florida,Higher dispersion,300.0,260.0,0,-1.0,1.0,1.0,2.0,3.0
R_27JdFlAAiGkeOuQ,Colorado,Higher dispersion,240.0,140.0,1,-3.0,-3.0,-3.0,-3.0,-3.0
R_2pW4gg4oMSZANNo,Colorado,Higher dispersion,320.0,160.0,1,-1.0,-1.0,-1.0,0.0,1.0
R_27lDaD1mDLV8M7W,Colorado,Equal dispersion,320.0,260.0,0,-1.0,0.0,1.0,2.0,2.0
R_RDny3KiQ3u9phOV,Colorado,Higher dispersion,350.0,280.0,0,1.0,2.0,2.0,2.0,2.0
R_2YypSl2WWgFKHYg,Colorado,Higher dispersion,320.0,185.0,1,-1.0,0.0,1.0,2.0,2.0
R_3Jr2yrYKvf9XVbx,Florida,Higher dispersion,300.0,240.0,0,2.0,3.0,3.0,2.0,3.0
R_0jQoS4tIcLgkcI9,Colorado,Higher dispersion,325.0,315.0,0,1.0,1.0,3.0,3.0,3.0
R_3J4xm4Opp3wiwQB,Florida,Higher dispersion,300.0,160.0,1,1.0,1.0,1.0,1.0,1.0
R_wQYepGoclDuZNpT,Colorado,Equal dispersion,340.0,280.0,0,2.0,2.0,3.0,3.0,3.0
R_33xms1kEKYumKkk,Colorado,Higher dispersion,320.0,280.0,0,1.0,1.0,-1.0,1.0,-3.0
R_0Hxi5vF2VHG3qr7,Florida,Higher dispersion,340.0,240.0,0,2.0,2.0,3.0,3.0,3.0
R_1g0VTHTeJmtWY1d,Colorado,Higher dispersion,320.0,200.0,1,2.0,1.0,3.0,3.0,3.0
R_pshk2dVnqlpSj3r,Florida,Equal dispersion,123.0,232.0,1,2.0,2.0,2.0,2.0,2.0
R_yKIMJlVGCG0Jph7,Florida,Higher dispersion,300.0,240.0,0,-1.0,-1.0,0.0,1.0,2.0
R_2ATJqqGpfzfRNZ9,Colorado,Higher dispersion,480.0,160.0,1,-1.0,1.0,1.0,1.0,2.0
R_1P7wmcyrpEkpamw,Florida,Equal dispersion,400.0,320.0,0,-1.0,1.0,1.0,1.0,2.0
R_1pEuj9sFyLyIIjS,Florida,Higher dispersion,300.0,260.0,0,1.0,2.0,3.0,3.0,3.0
R_3EgvXW8W59FOeNq,Florida,Equal dispersion,400.0,320.0,0,1.0,2.0,3.0,3.0,3.0
R_ZvCyKrev6x8Bn7r,Florida,Higher dispersion,300.0,250.0,0,3.0,3.0,3.0,3.0,3.0
R_3MJOOpUOxBgrbaW,Colorado,Higher dispersion,300.0,220.0,1,-3.0,0.0,1.0,2.0,3.0
R_3fCTzjE5hBhFBAI,Florida,Higher dispersion,290.0,180.0,1,-2.0,-2.0,-2.0,-2.0,-1.0
R_28TjA7fgKYIaoEG,Colorado,Higher dispersion,360.0,240.0,0,1.0,2.0,2.0,2.0,2.0
R_11amvvMCI9NJ0hS,Florida,Higher dispersion,320.0,280.0,0,2.0,3.0,2.0,3.0,3.0
R_Uy94v8A3M1uQlmp,Colorado,Higher dispersion,300.0,260.0,0,1.0,3.0,3.0,3.0,3.0
R_8oUtwv8LQPUipVv,Florida,Higher dispersion,240.0,120.0,1,-3.0,-3.0,-3.0,-3.0,0.0
R_1LO7ysfBFF5yUv5,Colorado,Equal dispersion,240.0,220.0,1,1.0,2.0,3.0,3.0,3.0
R_1GDMxmpYsgXp6Yq,Florida,Higher dispersion,300.0,140.0,1,1.0,1.0,2.0,3.0,3.0
R_3huWkdDZqoQqKn9,Colorado,Equal dispersion,340.0,200.0,1,2.0,2.0,2.0,2.0,3.0
R_PFKFyEDx6nGWVeF,Colorado,Equal dispersion,310.0,240.0,0,1.0,2.0,3.0,3.0,3.0
