turkid,condition,label_category,memory_min,memory_avg,offer,LTA,has_consistent_prefs
R_23KLIK9wDEFHelr,Higher dispersion,Colorado,200.0,315.0,280,1.0,True
R_23KLIK9wDEFHelr,Higher dispersion,Colorado,200.0,315.0,260,2.0,True
R_23KLIK9wDEFHelr,Higher dispersion,Colorado,200.0,315.0,240,2.0,True
R_23KLIK9wDEFHelr,Higher dispersion,Colorado,200.0,315.0,220,2.0,True
R_23KLIK9wDEFHelr,Higher dispersion,Colorado,200.0,315.0,200,3.0,True
R_2AFRwmmkgl6ODeU,Higher dispersion,Colorado,260.0,330.0,280,1.0,False
R_2AFRwmmkgl6ODeU,Higher dispersion,Colorado,260.0,330.0,260,3.0,False
R_2AFRwmmkgl6ODeU,Higher dispersion,Colorado,260.0,330.0,240,1.0,False
R_2AFRwmmkgl6ODeU,Higher dispersion,Colorado,260.0,330.0,220,1.0,False
R_2AFRwmmkgl6ODeU,Higher dispersion,Colorado,260.0,330.0,200,3.0,False
R_ZehXt6VHkjiwp7b,Equal dispersion,Florida,240.0,320.0,280,1.0,True
R_ZehXt6VHkjiwp7b,Equal dispersion,Florida,240.0,320.0,260,2.0,True
R_ZehXt6VHkjiwp7b,Equal dispersion,Florida,240.0,320.0,240,3.0,True
R_ZehXt6VHkjiwp7b,Equal dispersion,Florida,240.0,320.0,220,3.0,True
R_ZehXt6VHkjiwp7b,Equal dispersion,Florida,240.0,320.0,200,3.0,True
R_31mXuEBPkGx1XZs,Higher dispersion,Colorado,240.0,300.0,280,1.0,True
R_31mXuEBPkGx1XZs,Higher dispersion,Colorado,240.0,300.0,260,2.0,True
R_31mXuEBPkGx1XZs,Higher dispersion,Colorado,240.0,300.0,240,2.0,True
R_31mXuEBPkGx1XZs,Higher dispersion,Colorado,240.0,300.0,220,2.0,True
R_31mXuEBPkGx1XZs,Higher dispersion,Colorado,240.0,300.0,200,3.0,True
R_1mFr5M03MNb0inb,Higher dispersion,Florida,280.0,300.0,280,0.0,True
R_1mFr5M03MNb0inb,Higher dispersion,Florida,280.0,300.0,260,1.0,True
R_1mFr5M03MNb0inb,Higher dispersion,Florida,280.0,300.0,240,2.0,True
R_1mFr5M03MNb0inb,Higher dispersion,Florida,280.0,300.0,220,3.0,True
R_1mFr5M03MNb0inb,Higher dispersion,Florida,280.0,300.0,200,3.0,True
R_A1l58vFetI5vacV,Equal dispersion,Colorado,240.0,320.0,280,3.0,True
R_A1l58vFetI5vacV,Equal dispersion,Colorado,240.0,320.0,260,3.0,True
R_A1l58vFetI5vacV,Equal dispersion,Colorado,240.0,320.0,240,3.0,True
R_A1l58vFetI5vacV,Equal dispersion,Colorado,240.0,320.0,220,3.0,True
R_A1l58vFetI5vacV,Equal dispersion,Colorado,240.0,320.0,200,3.0,True
R_0lHEWZRHI7AdsHf,Higher dispersion,Florida,240.0,300.0,280,-2.0,True
R_0lHEWZRHI7AdsHf,Higher dispersion,Florida,240.0,300.0,260,-2.0,True
R_0lHEWZRHI7AdsHf,Higher dispersion,Florida,240.0,300.0,240,-2.0,True
R_0lHEWZRHI7AdsHf,Higher dispersion,Florida,240.0,300.0,220,-2.0,True
R_0lHEWZRHI7AdsHf,Higher dispersion,Florida,240.0,300.0,200,-1.0,True
R_1BRtqvcxdCSqKKl,Equal dispersion,Colorado,240.0,300.0,280,2.0,True
R_1BRtqvcxdCSqKKl,Equal dispersion,Colorado,240.0,300.0,260,3.0,True
R_1BRtqvcxdCSqKKl,Equal dispersion,Colorado,240.0,300.0,240,3.0,True
R_1BRtqvcxdCSqKKl,Equal dispersion,Colorado,240.0,300.0,220,3.0,True
R_1BRtqvcxdCSqKKl,Equal dispersion,Colorado,240.0,300.0,200,3.0,True
R_2OOpYvVLonGo1N6,Higher dispersion,Florida,180.0,300.0,280,1.0,True
R_2OOpYvVLonGo1N6,Higher dispersion,Florida,180.0,300.0,260,1.0,True
R_2OOpYvVLonGo1N6,Higher dispersion,Florida,180.0,300.0,240,1.0,True
