turkid,label_category,condition,memory_avg,memory_min,below_true_min,search_length,paid_price,excluded
R_1dHx8hwMCPPcgyW,Colorado,Higher dispersion,0.0,240.0,0,6,320,No
R_9YtzKzK48ltwqwp,Colorado,Equal dispersion,0.0,280.0,0,2,320,No
R_eVZMZTavR9H4SXv,Florida,Equal dispersion,680.0,260.0,0,3,260,No
R_1NEzvnj4kL5VPLj,Florida,Equal dispersion,610.0,240.0,0,3,260,No
R_1d7fmZIh4OYEYWk,Colorado,Higher dispersion,0.0,340.0,0,1,340,Yes
R_2uV4YH0jso7642g,Colorado,Equal dispersion,0.0,280.0,0,2,320,No
R_3OrFUl6Uo5mLtir,Colorado,Higher dispersion,0.0,200.0,1,3,260,No
R_YPPA10DwABr5WUh,Florida,Higher dispersion,620.0,260.0,0,3,260,No
R_vjJyMX5ChuJxlfP,Colorado,Equal dispersion,0.0,260.0,0,3,260,No
R_2fjNCFOc7MJV45J,Florida,Higher dispersion,680.0,340.0,0,1,340,Yes
R_2XdOoJN0mthV62k,Florida,Equal dispersion,620.0,240.0,0,3,260,No
R_3Gf80yjb3ng1nir,Florida,Equal dispersion,440.0,250.0,0,1,340,No
R_1l9nNkcCtIbqB5A,Colorado,Equal dispersion,0.0,240.0,0,3,260,No
R_3QYIZhCCBjw4GAb,Colorado,Equal dispersion,0.0,240.0,0,3,260,No
R_OvUjzQZfe1fSwV3,Colorado,Equal dispersion,0.0,260.0,0,3,260,No
R_27aobKg9DU2Gwkt,Colorado,Equal dispersion,0.0,250.0,0,1,340,No
R_bOuhmu3ld7SR7Mt,Colorado,Equal dispersion,0.0,53.0,1,1,340,No
R_QoYQ777yu1QH48F,Colorado,Higher dispersion,0.0,240.0,0,3,260,No
R_bwQSPFvMFMiSlXz,Colorado,Higher dispersion,0.0,200.0,1,3,260,No
R_b9Fokd09zNOd7mF,Florida,Equal dispersion,640.0,240.0,0,3,260,No
R_2cCyjPIXt37XH2b,Florida,Higher dispersion,170.0,95.0,1,1,340,No
R_2TAC10yog9M1cBA,Florida,Higher dispersion,620.0,240.0,0,3,260,No
R_DMNIXHYCTn4zyg1,Florida,Higher dispersion,600.0,140.0,1,3,260,No
R_pisveiiVgWYhGSZ,Colorado,Equal dispersion,0.0,280.0,0,2,320,No
R_3OiP7AmLfnE2dTr,Colorado,Higher dispersion,0.0,240.0,0,3,260,No
R_1jEfR0Z6Xx9adKk,Florida,Equal dispersion,720.0,260.0,0,3,260,No
R_UmB8nHPjeENLm6d,Florida,Equal dispersion,2000.0,500.0,0,1,340,Yes
R_3szcVVx2CmcWxsC,Florida,Equal dispersion,588.0,260.0,0,3,260,No
R_2rOBNDXKhakODY4,Colorado,Higher dispersion,0.0,240.0,0,3,260,No
R_O3ck2BrrWJrAf9n,Florida,Equal dispersion,680.0,320.0,0,1,340,No
R_1odvvuRELymX2AV,Florida,Higher dispersion,600.0,240.0,0,3,260,No
R_1CIShJQ8GwzLxGp,Colorado,Higher dispersion,0.0,260.0,0,3,260,No
R_1guuNtJItQ6236D,Florida,Higher dispersion,600.0,180.0,1,6,320,No
R_2yrBvKMVz6xu703,Colorado,Equal dispersion,0.0,340.0,0,1,340,Yes
R_3etzUf8osiuFuJG,Florida,Equal dispersion,600.0,240.0,0,3,260,No
R_20MbAuUdykTcPAU,Florida,Equal dispersion,600.0,260.0,0,3,260,No
R_1OEa7Fp3a0xZWsO,Florida,Higher dispersion,900.0,200.0,1,1,340,No
R_2cpGASNmaTlCHAM,Florida,Higher dispersion,560.0,180.0,1,3,260,No
R_2rj8qcwfuQqEmhL,Colorado,Higher dispersion,0.0,300.0,0,3,260,No
R_5cdcz5j2sAtLTIl,Florida,Equal dispersion,640.0,260.0,0,3,260,No
R_PSO9Fafv30emueB,Colorado,Higher dispersion,0.0,240.0,0,3,260,No
R_3D1qgHHKVSjC1PY,Colorado,Higher dispersion,0.0,200.0,1,6,320,No
R_2103aFKqZ2becOY,Florida,Equal dispersion,720.0,230.0,1,1,340,No
R_1oiCCSeBwrZ2beC,Colorado,Equal dispersion,0.0,240.0,0,3,260,No
R_6F5hDf335PSXrFL,Florida,Equal dispersion,620.0,260.0,0,3,260,No
R_XzBe32988ki07E5,Colorado,Equal dispersion,0.0,240.0,0,3,260,No
R_25FOOeC1h8MosWi,Colorado,Higher dispersion,0.0,140.0,1,1,340,No
R_2aPJLLCJBnVMa9e,Florida,Higher dispersion,600.0,250.0,0,3,260,No
R_3p910Gdp9PALeGH,Florida,Higher dispersion,700.0,180.0,1,3,260,No
