StartDate,EndDate,Duration (in seconds),Finished,ResponseId,1_T,2_T,3_T,4_T,5_T,6_T,Avg_Colorado,Min_Colorado,1_T,2_T,3_T,4_T,5_T,6_T,Avg_Florida,Min_Florida,workerId,prices_florida,prices_colorado,PaidPrice,EndLoop,DurationLearning,SearchLength,dispersion,manipulated
15/02/2020 17:53,15/02/2020 17:55,115,1,R_1dHx8hwMCPPcgyW,2,2,2,2,2,,300,240,,,,,,,,,A203KZ01LO7120,280;240;380;180;500;340;220;300;280;260;360;160;320;320;200;360;440;480;140;300;420;460;320;340;400,320;340;320;240;320;340;340;300;360;380;380;260;280;300;320;300;400;320;340;260;360;300;360;280;280,320,0,38259,6,higher,florida
15/02/2020 17:53,15/02/2020 17:56,188,1,R_9YtzKzK48ltwqwp,2,1,,,,,320,280,,,,,,,,,A3E94CIBDZO1UK,280;340;360;340;240;360;300;320;400;340;320;320;340;320;300;300;380;280;300;360;260;260;320;380;280,320;260;380;300;280;360;260;360;320;320;280;320;300;340;300;380;340;360;400;340;240;320;300;340;280,320,1,74420,2,same,florida
15/02/2020 17:53,15/02/2020 17:56,228,1,R_eVZMZTavR9H4SXv,,,,,,,,,2,2,1,,,,340,260,A1LQQ7UQKJYITI,320;260;360;340;280;320;320;320;380;340;300;380;360;320;280;360;280;340;340;300;400;300;260;240;300,380;300;400;260;300;380;300;340;360;260;320;240;320;340;340;360;320;320;360;320;340;280;280;280;300,260,1,55092,3,same,colorado
15/02/2020 17:52,15/02/2020 17:57,264,1,R_1NEzvnj4kL5VPLj,,,,,,,,,2,2,1,,,,305,240,A2B2DDYZ7EEXTG,380;320;360;340;400;300;300;360;240;280;260;320;320;280;300;300;380;260;360;340;340;320;320;340;280,400;260;320;280;340;280;380;300;320;340;280;360;360;300;260;340;300;320;240;320;340;320;380;300;360,260,1,72871,3,same,colorado
15/02/2020 17:54,15/02/2020 17:57,162,1,R_1d7fmZIh4OYEYWk,1,,,,,,340,340,,,,,,,,,A1QDHPV2347IPL,240;360;300;480;320;260;140;300;340;320;460;320;500;360;160;220;420;380;200;280;280;440;400;340;180,280;360;340;340;280;320;360;340;240;320;380;260;360;280;320;300;300;300;320;400;300;260;320;340;380,340,1,97856,1,higher,florida
15/02/2020 17:53,15/02/2020 17:57,244,1,R_2uV4YH0jso7642g,2,1,,,,,340,280,,,,,,,,,AIYLNO2P9YPBW,340;360;280;260;340;400;300;340;380;260;360;300;320;320;300;320;320;340;360;280;240;320;380;280;300,320;340;300;320;400;260;320;320;340;300;280;320;340;360;360;300;380;360;260;300;280;380;240;340;280,320,1,83402,2,same,florida
15/02/2020 17:53,15/02/2020 17:57,245,1,R_3OrFUl6Uo5mLtir,2,2,1,,,,300,200,,,,,,,,,A1FGPXXKWUCPC9,400;360;320;380;480;280;320;460;360;300;440;240;500;220;420;260;300;340;320;340;200;180;160;140;280,320;360;360;340;280;360;400;260;280;280;340;380;300;240;320;320;300;300;340;260;380;300;320;340;320,260,1,59342,3,higher,florida
15/02/2020 17:53,15/02/2020 17:57,252,1,R_YPPA10DwABr5WUh,,,,,,,,,2,2,1,,,,310,260,AJSKADQLVDD57,320;300;360;280;300;300;340;280;320;260;300;320;380;400;280;360;240;320;260;340;360;340;340;320;380,400;440;240;300;300;260;320;140;460;200;180;220;280;340;480;500;360;320;340;420;360;280;160;320;380,260,1,52100,3,higher,colorado
15/02/2020 17:53,15/02/2020 17:57,241,1,R_vjJyMX5ChuJxlfP,2,2,1,,,,320,260,,,,,,,,,A1UEMMSI1XUBSW,320;360;360;300;340;300;340;380;320;280;340;280;340;260;400;360;320;280;380;320;240;300;320;300;260,360;240;300;380;400;300;320;360;280;340;380;300;260;320;300;280;340;340;260;340;280;320;360;320;320,260,1,66722,3,same,florida
15/02/2020 17:53,15/02/2020 17:58,260,1,R_2fjNCFOc7MJV45J,,,,,,,,,1,,,,,,340,340,AFZOUL3X47QIG,320;360;320;360;280;280;380;240;260;260;400;320;320;300;320;280;360;340;300;340;300;340;380;300;340,340;420;340;320;240;160;180;300;140;380;360;220;400;260;500;460;440;300;320;200;280;360;320;280;480,340,1,92162,1,higher,colorado
15/02/2020 17:52,15/02/2020 17:58,322,1,R_2XdOoJN0mthV62k,,,,,,,,,2,2,1,,,,310,240,A17TPS17SI40TT,300;300;280;320;300;380;340;340;280;260;360;280;400;360;340;320;260;240;320;320;320;340;300;360;380,320;280;360;300;320;320;360;260;320;340;380;380;340;300;280;280;260;360;340;400;320;240;300;340;300,260,1,138209,3,same,colorado
15/02/2020 17:53,15/02/2020 17:58,307,1,R_3Gf80yjb3ng1nir,,,,,,,,,1,,,,,,220,250,A308PFK9H2GNCS,260;320;320;340;340;340;400;280;360;280;300;380;300;320;340;300;360;320;380;300;320;360;240;260;280,320;360;260;320;320;380;360;340;320;240;300;280;380;400;260;300;340;340;340;280;300;280;300;320;360,340,1,190777,1,same,colorado
15/02/2020 17:55,15/02/2020 17:58,187,1,R_1l9nNkcCtIbqB5A,2,2,1,,,,340,240,,,,,,,,,AC00AMU93QF4W,360;360;300;280;320;300;340;380;340;400;340;320;280;320;340;240;380;280;320;300;360;300;260;260;320,380;300;340;360;360;320;320;260;320;400;300;260;240;300;340;340;300;340;280;320;380;280;360;280;320,260,1,53871,3,same,florida
15/02/2020 17:55,15/02/2020 17:59,215,1,R_3QYIZhCCBjw4GAb,2,2,1,,,,300,240,,,,,,,,,A30Y3H3UJ9QKWV,260;340;280;380;320;300;400;280;360;340;340;380;320;360;320;360;300;300;320;240;340;260;280;300;320,360;340;280;260;240;300;340;360;300;320;380;400;320;300;380;320;260;360;320;320;340;300;280;280;340,260,1,129731,3,same,florida
15/02/2020 17:56,15/02/2020 17:59,180,1,R_OvUjzQZfe1fSwV3,2,2,1,,,,280,260,,,,,,,,,A2L6GCRFAKUEXF,320;400;280;320;380;360;320;300;240;360;340;280;260;340;300;380;360;300;320;260;340;340;300;280;320,360;380;360;300;320;320;320;320;260;360;300;340;380;400;340;240;260;340;300;340;300;280;280;320;280,260,1,60864,3,same,florida
15/02/2020 17:54,15/02/2020 17:59,349,1,R_27aobKg9DU2Gwkt,1,,,,,,400,250,,,,,,,,,A40WTCAJT9Z6,340;360;260;340;360;380;340;280;340;300;320;320;280;400;260;320;280;380;360;320;320;300;300;300;240,380;280;260;380;360;340;340;260;400;320;320;360;360;300;320;300;300;340;320;320;240;340;300;280;280,340,1,80368,1,same,florida
15/02/2020 17:53,15/02/2020 18:00,412,1,R_bOuhmu3ld7SR7Mt,1,,,,,,437,53,,,,,,,,,A39DP4T75LXV0X,280;320;320;320;320;300;260;300;400;320;380;240;300;360;340;260;300;340;360;380;280;340;340;280;360,300;300;340;400;260;360;320;340;300;240;360;380;340;320;380;260;280;320;300;320;280;280;360;320;340,340,1,49580,1,same,florida
15/02/2020 17:54,15/02/2020 18:00,341,1,R_QoYQ777yu1QH48F,2,2,1,,,,320,240,,,,,,,,,A3W0P1TLW5BO3X,320;320;140;340;400;180;500;420;440;360;380;220;260;360;280;460;340;300;200;160;280;480;320;240;300,360;380;340;280;320;340;320;260;400;300;300;360;320;340;260;320;360;280;300;240;340;280;300;320;380,260,1,96967,3,higher,florida
15/02/2020 17:55,15/02/2020 18:00,273,1,R_bwQSPFvMFMiSlXz,,,1,,,,300,200,,,,,,,,,AWIPCEFUP3Q9E,220;160;340;300;180;480;460;320;240;380;340;200;300;440;260;280;140;280;360;360;420;320;400;500;320,340;380;380;320;340;340;280;280;340;360;400;360;260;300;320;300;320;280;240;360;260;300;320;320;300,260,1,111790,3,higher,florida
