startdate,enddate,bonusamount,workerid,box_opened,bonusamountnumeric,memory_max,memory_max_recoded,condition,label_category,excluded,excluded_if_recoded
16/07/2019 21:48,16/07/2019 21:49,30¢,A1ACIEFY7308VO,1,30.0,35.0,35.0,Equal dispersion,Red,No,No
16/07/2019 21:48,16/07/2019 21:50,38¢,A3P91I9NPRTQ8Q,2,38.0,40.0,40.0,Equal dispersion,Red,No,No
16/07/2019 21:47,16/07/2019 21:50,38¢,A582C3UN20MTP,2,38.0,38.0,38.0,Higher dispersion,Red,No,No
16/07/2019 21:48,16/07/2019 21:50,38¢,A2EJOI2VIRMIR,2,38.0,46.0,46.0,Higher dispersion,Blue,No,No
16/07/2019 21:48,16/07/2019 21:50,32¢,A1UJFFG4QXRZTG,5,32.0,60.0,60.0,Higher dispersion,Red,No,No
16/07/2019 21:48,16/07/2019 21:51,32¢,A1B3BQEXT42AUT,5,32.0,38.0,38.0,Equal dispersion,Blue,No,No
16/07/2019 21:47,16/07/2019 21:51,38¢,A1NX757N7HLLLM,2,38.0,42.0,42.0,Equal dispersion,Blue,No,No
16/07/2019 21:48,16/07/2019 21:51,38¢,A15FW45U2TJ443,2,38.0,38.0,38.0,Higher dispersion,Red,No,No
16/07/2019 21:48,16/07/2019 21:51,38¢,A4FIBA4TLW0NG,2,38.0,40.0,40.0,Equal dispersion,Blue,No,No
16/07/2019 21:49,16/07/2019 21:51,38¢,A1ARYYSI60146Q,2,38.0,40.0,40.0,Equal dispersion,Red,No,No
16/07/2019 21:49,16/07/2019 21:52,38¢,A3AS6HVPF2TQ59,2,38.0,40.0,40.0,Higher dispersion,Red,No,No
16/07/2019 21:49,16/07/2019 21:52,32¢,A2VG30TZC4CND0,5,32.0,40.0,40.0,Higher dispersion,Blue,No,No
16/07/2019 21:48,16/07/2019 21:52,38¢,A3S4MITRNWI9WZ,2,38.0,40.0,40.0,Equal dispersion,Red,No,No
16/07/2019 21:49,16/07/2019 21:52,38¢,A3FQYXSF2OBFQI,2,38.0,50.0,50.0,Higher dispersion,Red,No,No
16/07/2019 21:49,16/07/2019 21:52,38¢,A12RYS0421N2RV,2,38.0,38.0,38.0,Equal dispersion,Red,No,No
16/07/2019 21:50,16/07/2019 21:52,32¢,A3ELNE9ZXHYZ1B,5,32.0,0.38,38.0,Higher dispersion,Blue,Yes,No
16/07/2019 21:50,16/07/2019 21:52,38¢,A33X25JB3SVXOA,2,38.0,40.0,40.0,Equal dispersion,Blue,No,No
16/07/2019 21:49,16/07/2019 21:52,30¢,A36O6HP64YFT2Y,1,30.0,48.0,48.0,Equal dispersion,Blue,No,No
16/07/2019 21:50,16/07/2019 21:53,32¢,A1UNZ4YFCRBC93,5,32.0,50.0,50.0,Higher dispersion,Red,No,No
