workerid,bid_placed,dispersion,condition,memory_max_bid,above_actual_max,excluded
A1N956KBC4G13I,50.0,Higher,Higher Dispersion,50.0,True,True
A3UYF2OT5REMG0,34.0,Lower,Lower Dispersion,45.0,True,True
A3HIRTT1LMU7BV,38.0,Lower,Lower Dispersion,37.0,False,False
A1YHLWA8L1CPD6,60.0,Higher,Higher Dispersion,52.0,True,True
A8C9KFPPZAL2J,40.0,Lower,Lower Dispersion,37.0,False,False
A2DTW4N45PR8M,50.0,Higher,Higher Dispersion,45.0,True,False
AMB00QP3GG1J9,45.0,Higher,Higher Dispersion,37.0,False,False
A1AT47U7BICOLR,10.0,Lower,Lower Dispersion,10.0,False,True
A15RTRQ5YO6AUS,40.0,Higher,Higher Dispersion,37.0,False,True
A13O9747NFDLX,25.0,Higher,Higher Dispersion,25.0,False,True
A3IT7C62W5QCYD,38.0,Lower,Lower Dispersion,37.0,False,False
A1OKICYG132K6G,38.0,Higher,Higher Dispersion,24.0,False,True
ATXHPDC552P4V,60.0,Higher,Higher Dispersion,48.0,True,False
A3HQMQX8ACRIXZ,39.0,Lower,Lower Dispersion,34.0,False,True
A2RMQ5CCDH4DD1,20.0,Lower,Lower Dispersion,60.0,True,True
A1YOS2GLHYYN3Z,25.0,Lower,Lower Dispersion,37.0,False,True
A28AYIPE4Z2HZM,60.0,Lower,Lower Dispersion,60.0,True,True
A206A9XBXID1SX,60.0,Higher,Higher Dispersion,60.0,True,True
A31H7O281ZXBVF,60.0,Lower,Lower Dispersion,37.0,False,True
A3AABE5BYIJZ8X,60.0,Lower,Lower Dispersion,60.0,True,True
AMIZBGPELWQFG,39.0,Higher,Higher Dispersion,37.0,False,True
A28EIWQKI8OGY8,60.0,Higher,Higher Dispersion,37.0,False,False
A2ALT6DMDZBZER,50.0,Higher,Higher Dispersion,60.0,True,True
A3HFSMFL67XNVO,25.0,Lower,Lower Dispersion,35.0,False,True
A1RFJ547N8OUCO,60.0,Higher,Higher Dispersion,32.0,False,False
A3LKLJZ2K1DBKK,40.0,Lower,Lower Dispersion,37.0,False,False
A14JKIJJ9Q8PYC,32.0,Lower,Lower Dispersion,1.0,False,True
A2UG4P0MCJK1G1,55.0,Lower,Lower Dispersion,34.0,False,True
ANO32UECJUB7E,25.0,Lower,Lower Dispersion,60.0,True,True
AU27L09ZRRTAI,40.0,Lower,Lower Dispersion,37.0,False,False
AV0DARJRV8M09,50.0,Higher,Higher Dispersion,60.0,True,True
A3LN18E0H6XBCT,32.0,Lower,Lower Dispersion,35.0,False,False
A3N86UTCWZDD2I,35.0,Higher,Higher Dispersion,35.0,False,True
AE0GCB9PHPURV,60.0,Lower,Lower Dispersion,60.0,True,True
A90T7I7KQIZQA,32.0,Higher,Higher Dispersion,35.0,False,False
AVB5WWT3PFCCS,25.0,Higher,Higher Dispersion,50.0,True,True
AMFKTJY2YWY5P,42.0,Lower,Lower Dispersion,38.0,True,False
AILLFRHV4RVIV,50.0,Higher,Higher Dispersion,43.0,True,True
A17DF0LKIB2YHN,32.0,Higher,Higher Dispersion,32.0,False,True
A1HYK2B4TMH5ZX,50.0,Lower,Lower Dispersion,50.0,True,True
A3UH22RW0GQE0S,50.0,Lower,Lower Dispersion,50.0,True,True
A37GN2WIEMKT2W,55.0,Higher,Higher Dispersion,60.0,True,True
A2V7F5B760EZXJ,55.0,Higher,Higher Dispersion,60.0,True,True
ALK9XZBTNDAUH,60.0,Higher,Higher Dispersion,36.0,False,False
A1XMQHX3NZD8UM,25.0,Lower,Lower Dispersion,30.0,False,True
ACW4O8CBAIAWM,60.0,Lower,Lower Dispersion,37.0,False,False
A1F8F4P54T9SU6,47.0,Lower,Lower Dispersion,37.0,False,False
A1NS6HYQ8VS5VA,40.0,Higher,Higher Dispersion,37.0,False,True
A2WF2TLTY77OHV,51.0,Higher,Higher Dispersion,50.0,True,True
A1EC0A8K4VPP76,39.0,Higher,Higher Dispersion,37.0,False,False
A2PYYLXFG947LB,38.0,Higher,Higher Dispersion,36.0,False,False
A2K4YS0G1U4YAK,37.0,Lower,Lower Dispersion,36.0,False,False
ANPSJKF8UI2HO,38.0,Higher,Higher Dispersion,37.0,False,False
A33Y5LXJNNFGWI,39.0,Lower,Lower Dispersion,37.0,False,False
A5BBUOX8P86N4,47.0,Higher,Higher Dispersion,40.0,True,False
A2FCRD57YNZ77H,39.0,Lower,Lower Dispersion,37.0,False,False
A38Q8SPKU8VPO9,38.0,Lower,Lower Dispersion,37.0,False,True
A139PIZK86QCR1,42.0,Higher,Higher Dispersion,37.0,False,True
A2O97UY43FFEII,38.0,Lower,Lower Dispersion,37.0,False,True
A2OQ270EA63W0U,45.0,Higher,Higher Dispersion,37.0,False,False
A1SUGWQRIC0O9K,51.0,Higher,Higher Dispersion,50.0,True,False
A2GJJZ0IPRUIV3,60.0,Lower,Lower Dispersion,60.0,True,True
