StartDate,EndDate,Duration (in seconds),Finished,ResponseId,Age,Gender,TInstruc_First Click,TInstruc_Last Click,TInstruc_Page Submit,TInstruc_Click Count,TAuction1_First Click,TAuction1_Last Click,TAuction1_Page Submit,TAuction1_Click Count,TAuction2_First Click,TAuction2_Last Click,TAuction2_Page Submit,TAuction2_Click Count,TAuction3_First Click,TAuction3_Last Click,TAuction3_Page Submit,TAuction3_Click Count,1_Bid,1_T,2_Bid,2_T,3_Bid,3_T,4_Bid,4_T,5_Bid,5_T,6_Bid,6_T,7_Bid,7_T,8_Bid,8_T,9_Bid,9_T,10_Bid,10_T,MaxBid,GetCard,GetCash,prices,prices_amazon,prices_wholefoods,EndLoop,dispersion
08/04/2020 15:04,08/04/2020 15:10,378,1,R_TiU9ypR5azjzI4h,20,4,0,0,72.943,0,0,0,32.532,0,0,0,10.237,0,0,0,36.991,0,38,1,,,,,,,,,,,,,,,,,,,37,1,18,"32,29,34,28,30,31,29,32,35,32,32,34,30,34,30,37,27,33,31,31,36,33,35,33,32,28,26,42,29,38,27,25,18,21,24,30,32,22,31,34,40,43,33,36,14,37,46,39,50,35",32;33;35;33;36;31;31;33;27;37;30;34;30;34;32;32;35;32;29;31;30;28;34;29;32,35;50;39;46;37;14;36;33;43;40;34;31;22;32;30;24;21;18;25;27;38;29;42;26;28,1,higher
08/04/2020 15:25,08/04/2020 15:29,257,1,R_3HXrwW8QEtAd5IG,18,5,0,0,53.476,0,0,0,13.052,0,0,0,10.953,0,0,0,17.755,0,39,1,,,,,,,,,,,,,,,,,,,37,1,10,"30,35,32,37,32,33,31,34,32,36,34,30,33,30,32,34,35,33,31,29,29,32,27,31,28,30,26,27,40,43,21,37,33,14,25,18,31,42,36,34,35,50,39,28,38,22,46,29,32,24",28;31;27;32;29;29;31;33;35;34;32;30;33;30;34;36;32;34;31;33;32;37;32;35;30,24;32;29;46;22;38;28;39;50;35;34;36;42;31;18;25;14;33;37;21;43;40;27;26;30,1,higher
09/04/2020 13:56,09/04/2020 14:01,261,1,R_1P5GbRxRHpoymXK,23,5,0,0,59.446,0,0,0,15.82,0,0,0,9.218,0,0,0,20.614,0,38,1,,,,,,,,,,,,,,,,,,,37,1,10,"29,34,32,36,30,35,34,29,30,32,31,30,32,32,34,33,31,37,33,33,28,32,31,27,35,31,33,33,31,33,31,32,31,31,33,32,33,32,32,32,33,32,30,32,30,32,32,31,34,34",35;27;31;32;28;33;33;37;31;33;34;32;32;30;31;32;30;29;34;35;30;36;32;34;29,34;34;31;32;32;30;32;30;32;33;32;32;32;33;32;33;31;31;32;31;33;31;33;33;31,1,lower
09/04/2020 13:56,09/04/2020 14:01,273,1,R_XThE7vtltv2eNxv,19,4,45.899,45.899,46.332,1,0,0,17.5,0,0,0,7.886,0,0,0,28.6,0,38,1,,,,,,,,,,,,,,,,,,,37,1,10,"32,29,30,35,37,30,33,32,32,34,36,30,32,35,34,32,29,33,33,31,31,31,27,28,34,33,33,30,31,32,33,32,30,31,33,31,32,33,32,32,32,32,31,32,31,34,34,32,33,31",34;28;27;31;31;31;33;33;29;32;34;35;32;30;36;34;32;32;33;30;37;35;30;29;32,31;33;32;34;34;31;32;31;32;32;32;32;33;32;31;33;31;30;32;33;32;31;30;33;33,1,lower
09/04/2020 13:56,09/04/2020 14:01,327,1,R_z0YyNU62QGprBe1,36,4,37.594,46.155,102.079,2,0,0,18.338,0,10.248,10.248,10.848,1,0,0,27.032,0,40,1,,,,,,,,,,,,,,,,,,,37,1,10,"30,32,33,32,34,30,33,31,35,27,32,33,29,34,31,30,32,37,31,32,28,29,34,35,36,31,32,32,33,32,32,33,31,32,32,32,33,31,33,32,30,32,33,31,33,34,34,30,31,31",36;35;34;29;28;32;31;37;32;30;31;34;29;33;32;27;35;31;33;30;34;32;33;32;30,31;31;30;34;34;33;31;33;32;30;32;33;31;33;32;32;32;31;33;32;32;33;32;32;31,1,lower
09/04/2020 14:03,09/04/2020 14:07,237,1,R_3Jq1UANjk0OPEPA,22,5,0,0,46.894,0,0,0,14.391,0,0,0,9.154,0,0,0,16.26,0,55,1,,,,,,,,,,,,,,,,,,,34,1,18,"33,32,35,30,32,31,29,28,31,35,32,34,34,27,32,37,34,33,33,31,32,29,36,30,30,29,35,24,38,25,28,30,32,50,46,42,40,31,14,33,36,26,39,43,18,37,34,22,21,27",30;30;36;29;32;31;33;33;34;37;32;27;34;34;32;35;31;28;29;31;32;30;35;32;33,27;21;22;34;37;18;43;39;26;36;33;14;31;40;42;46;50;32;30;28;25;38;24;35;29,1,higher
09/04/2020 14:02,09/04/2020 14:08,367,1,R_roHqPJMSlbtiUa5,21,4,0,0,68.385,0,0,0,50.638,0,0,0,9.366,0,0,0,21.998,0,38,1,,,,,,,,,,,,,,,,,,,37,1,0,"29,35,33,31,30,32,34,37,36,28,32,34,33,30,32,29,27,30,32,31,35,33,34,31,32,29,32,50,43,38,25,28,26,39,30,42,21,14,34,22,37,36,24,18,31,33,46,40,27,35",32;31;34;33;35;31;32;30;27;29;32;30;33;34;32;28;36;37;34;32;30;31;33;35;29,35;27;40;46;33;31;18;24;36;37;22;34;14;21;42;30;39;26;28;25;38;43;50;32;29,1,higher
09/04/2020 14:05,09/04/2020 14:09,270,1,R_10SfPRJdMzhY1xD,20,5,30.055,49.746,53.147,2,0,0,13.026,0,0,0,11.61,0,5.119,5.119,23.462,1,41,1,,,,,,,,,,,,,,,,,,,37,1,10,"36,37,31,31,30,34,29,33,29,31,35,32,32,30,32,27,28,33,30,32,32,35,34,33,34,31,31,32,32,32,31,33,32,33,33,32,30,33,32,31,33,32,31,34,34,33,32,32,31,30",34;33;34;35;32;32;30;33;28;27;32;30;32;32;35;31;29;33;29;34;30;31;31;37;36,30;31;32;32;33;34;34;31;32;33;31;32;33;30;32;33;33;32;33;31;32;32;32;31;31,1,lower
09/04/2020 16:19,09/04/2020 16:23,292,1,R_1K1oXHNJed9Tlqc,20,4,0,0,67.407,0,0,0,17.348,0,0,0,11.613,0,0,0,29.132,0,45,2,52,1,,,,,,,,,,,,,,,,,35,1,10,"35,31,33,33,30,34,32,34,30,30,33,32,28,29,32,32,27,37,31,32,31,36,29,35,34,46,18,32,35,50,38,34,42,28,39,43,29,40,25,36,21,30,33,24,22,26,31,37,27,14",34;35;29;36;31;32;31;37;27;32;32;29;28;32;33;30;30;34;32;34;30;33;33;31;35,14;27;37;31;26;22;24;33;30;21;36;25;40;29;43;39;28;42;34;38;50;35;32;18;46,1,higher
09/04/2020 16:26,09/04/2020 16:32,361,1,R_3qEBmLRtvzEzFFa,20,5,0,0,81.271,0,0,0,25.728,0,0,0,17.226,0,0,0,30.451,0,49,1,,,,,,,,,,,,,,,,,,,36,1,10,"34,32,37,30,32,34,32,28,33,35,31,35,29,32,33,31,31,30,30,29,36,27,33,32,34,32,31,32,30,33,31,31,33,33,33,34,31,32,32,34,32,31,33,31,33,32,32,32,30,32",34;32;33;27;36;29;30;30;31;31;33;32;29;35;31;35;33;28;32;34;32;30;37;32;34,32;30;32;32;32;33;31;33;31;32;34;32;32;31;34;33;33;33;31;31;33;30;32;31;32,1,lower
