turkid,is_manipulated,wine,mean_manipulated,value_id,value
A3634EWN5B6GL4,False,RedWine,High,0,21
A3634EWN5B6GL4,False,RedWine,High,1,23
A3634EWN5B6GL4,False,RedWine,High,2,23
A3634EWN5B6GL4,False,RedWine,High,3,23
A3634EWN5B6GL4,False,RedWine,High,4,25
A3634EWN5B6GL4,False,RedWine,High,5,25
A3634EWN5B6GL4,False,RedWine,High,6,27
A3634EWN5B6GL4,False,RedWine,High,7,27
A3634EWN5B6GL4,False,RedWine,High,8,27
A3634EWN5B6GL4,False,RedWine,High,9,29
A3634EWN5B6GL4,False,RedWine,High,10,29
A3634EWN5B6GL4,False,RedWine,High,11,31
A3634EWN5B6GL4,False,RedWine,High,12,31
A3634EWN5B6GL4,False,RedWine,High,13,31
A3634EWN5B6GL4,False,RedWine,High,14,33
A3634EWN5B6GL4,False,RedWine,High,15,33
A3634EWN5B6GL4,False,RedWine,High,16,35
A3634EWN5B6GL4,False,RedWine,High,17,35
A3634EWN5B6GL4,False,RedWine,High,18,37
A3634EWN5B6GL4,False,RedWine,High,19,37
A3634EWN5B6GL4,False,RedWine,High,20,37
A3634EWN5B6GL4,False,RedWine,High,21,39
A3634EWN5B6GL4,False,RedWine,High,22,39
A3634EWN5B6GL4,False,RedWine,High,23,39
A3634EWN5B6GL4,False,RedWine,High,24,39
AF9NG1PF59D1U,True,WhiteWine,High,0,31
AF9NG1PF59D1U,True,WhiteWine,High,1,31
AF9NG1PF59D1U,True,WhiteWine,High,2,31
AF9NG1PF59D1U,True,WhiteWine,High,3,33
AF9NG1PF59D1U,True,WhiteWine,High,4,33
AF9NG1PF59D1U,True,WhiteWine,High,5,33
AF9NG1PF59D1U,True,WhiteWine,High,6,33
AF9NG1PF59D1U,True,WhiteWine,High,7,33
AF9NG1PF59D1U,True,WhiteWine,High,8,37
AF9NG1PF59D1U,True,WhiteWine,High,9,37
AF9NG1PF59D1U,True,WhiteWine,High,10,37
AF9NG1PF59D1U,True,WhiteWine,High,11,37
AF9NG1PF59D1U,True,WhiteWine,High,12,37
AF9NG1PF59D1U,True,WhiteWine,High,13,37
AF9NG1PF59D1U,True,WhiteWine,High,14,37
AF9NG1PF59D1U,True,WhiteWine,High,15,41
AF9NG1PF59D1U,True,WhiteWine,High,16,41
AF9NG1PF59D1U,True,WhiteWine,High,17,41
AF9NG1PF59D1U,True,WhiteWine,High,18,41
AF9NG1PF59D1U,True,WhiteWine,High,19,41
AF9NG1PF59D1U,True,WhiteWine,High,20,41
AF9NG1PF59D1U,True,WhiteWine,High,21,43
AF9NG1PF59D1U,True,WhiteWine,High,22,43
AF9NG1PF59D1U,True,WhiteWine,High,23,43
AF9NG1PF59D1U,True,WhiteWine,High,24,47
A1E41XK40MN4IJ,False,RedWine,Med,0,15
