pid,turkid,item,sd_item_one,sd_item_two,mean_item_one,mean_item_two,sd_focal,sd_other,mean_focal,mean_other,value_id,value
6,A2P76QVLSGJR45,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,0,33
6,A2P76QVLSGJR45,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,1,33
6,A2P76QVLSGJR45,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,2,33
6,A2P76QVLSGJR45,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,3,33
6,A2P76QVLSGJR45,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,4,35
6,A2P76QVLSGJR45,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,5,35
6,A2P76QVLSGJR45,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,6,35
6,A2P76QVLSGJR45,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,7,35
6,A2P76QVLSGJR45,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,8,35
6,A2P76QVLSGJR45,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,9,35
6,A2P76QVLSGJR45,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,10,35
6,A2P76QVLSGJR45,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,11,35
6,A2P76QVLSGJR45,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,12,37
6,A2P76QVLSGJR45,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,13,37
6,A2P76QVLSGJR45,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,14,37
6,A2P76QVLSGJR45,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,15,37
6,A2P76QVLSGJR45,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,16,37
6,A2P76QVLSGJR45,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,17,39
6,A2P76QVLSGJR45,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,18,39
6,A2P76QVLSGJR45,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,19,39
6,A2P76QVLSGJR45,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,20,39
6,A2P76QVLSGJR45,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,21,39
6,A2P76QVLSGJR45,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,22,39
6,A2P76QVLSGJR45,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,23,39
6,A2P76QVLSGJR45,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,24,39
6,A2P76QVLSGJR45,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,25,39
2,A1PAMVTKGCXSWQ,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,0,33
2,A1PAMVTKGCXSWQ,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,1,33
2,A1PAMVTKGCXSWQ,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,2,33
2,A1PAMVTKGCXSWQ,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,3,33
2,A1PAMVTKGCXSWQ,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,4,35
