pid,turkid,name_manipulated,is_manipulated,wine,shape_manipulated,value_id,value
267,A12M7KD0YM21IY,White,False,Red,Same,0,18
267,A12M7KD0YM21IY,White,False,Red,Same,1,18
267,A12M7KD0YM21IY,White,False,Red,Same,2,18
267,A12M7KD0YM21IY,White,False,Red,Same,3,20
267,A12M7KD0YM21IY,White,False,Red,Same,4,20
267,A12M7KD0YM21IY,White,False,Red,Same,5,20
267,A12M7KD0YM21IY,White,False,Red,Same,6,20
267,A12M7KD0YM21IY,White,False,Red,Same,7,22
267,A12M7KD0YM21IY,White,False,Red,Same,8,22
267,A12M7KD0YM21IY,White,False,Red,Same,9,22
267,A12M7KD0YM21IY,White,False,Red,Same,10,24
267,A12M7KD0YM21IY,White,False,Red,Same,11,24
267,A12M7KD0YM21IY,White,False,Red,Same,12,24
267,A12M7KD0YM21IY,White,False,Red,Same,13,24
267,A12M7KD0YM21IY,White,False,Red,Same,14,26
267,A12M7KD0YM21IY,White,False,Red,Same,15,26
267,A12M7KD0YM21IY,White,False,Red,Same,16,26
267,A12M7KD0YM21IY,White,False,Red,Same,17,26
267,A12M7KD0YM21IY,White,False,Red,Same,18,26
267,A12M7KD0YM21IY,White,False,Red,Same,19,26
267,A12M7KD0YM21IY,White,False,Red,Same,20,26
267,A12M7KD0YM21IY,White,False,Red,Same,21,26
267,A12M7KD0YM21IY,White,False,Red,Same,22,26
267,A12M7KD0YM21IY,White,False,Red,Same,23,26
7,A3KROAV2O4QIA3,White,True,White,Same,0,18
7,A3KROAV2O4QIA3,White,True,White,Same,1,20
7,A3KROAV2O4QIA3,White,True,White,Same,2,20
7,A3KROAV2O4QIA3,White,True,White,Same,3,20
7,A3KROAV2O4QIA3,White,True,White,Same,4,22
7,A3KROAV2O4QIA3,White,True,White,Same,5,22
7,A3KROAV2O4QIA3,White,True,White,Same,6,22
7,A3KROAV2O4QIA3,White,True,White,Same,7,22
7,A3KROAV2O4QIA3,White,True,White,Same,8,22
7,A3KROAV2O4QIA3,White,True,White,Same,9,24
7,A3KROAV2O4QIA3,White,True,White,Same,10,24
7,A3KROAV2O4QIA3,White,True,White,Same,11,24
7,A3KROAV2O4QIA3,White,True,White,Same,12,24
7,A3KROAV2O4QIA3,White,True,White,Same,13,24
7,A3KROAV2O4QIA3,White,True,White,Same,14,24
7,A3KROAV2O4QIA3,White,True,White,Same,15,26
7,A3KROAV2O4QIA3,White,True,White,Same,16,26
7,A3KROAV2O4QIA3,White,True,White,Same,17,26
7,A3KROAV2O4QIA3,White,True,White,Same,18,26
7,A3KROAV2O4QIA3,White,True,White,Same,19,28
7,A3KROAV2O4QIA3,White,True,White,Same,20,28
7,A3KROAV2O4QIA3,White,True,White,Same,21,28
7,A3KROAV2O4QIA3,White,True,White,Same,22,30
7,A3KROAV2O4QIA3,White,True,White,Same,23,32
69,A15EZCN5OCG62W,Red,False,White,Same,0,18
69,A15EZCN5OCG62W,Red,False,White,Same,1,18
69,A15EZCN5OCG62W,Red,False,White,Same,2,20
69,A15EZCN5OCG62W,Red,False,White,Same,3,20
69,A15EZCN5OCG62W,Red,False,White,Same,4,22
69,A15EZCN5OCG62W,Red,False,White,Same,5,22
69,A15EZCN5OCG62W,Red,False,White,Same,6,22
69,A15EZCN5OCG62W,Red,False,White,Same,7,24
69,A15EZCN5OCG62W,Red,False,White,Same,8,24
69,A15EZCN5OCG62W,Red,False,White,Same,9,24
69,A15EZCN5OCG62W,Red,False,White,Same,10,24
69,A15EZCN5OCG62W,Red,False,White,Same,11,26
69,A15EZCN5OCG62W,Red,False,White,Same,12,26
69,A15EZCN5OCG62W,Red,False,White,Same,13,26
69,A15EZCN5OCG62W,Red,False,White,Same,14,26
69,A15EZCN5OCG62W,Red,False,White,Same,15,26
69,A15EZCN5OCG62W,Red,False,White,Same,16,28
69,A15EZCN5OCG62W,Red,False,White,Same,17,28
69,A15EZCN5OCG62W,Red,False,White,Same,18,28
69,A15EZCN5OCG62W,Red,False,White,Same,19,30
69,A15EZCN5OCG62W,Red,False,White,Same,20,30
69,A15EZCN5OCG62W,Red,False,White,Same,21,32
69,A15EZCN5OCG62W,Red,False,White,Same,22,32
69,A15EZCN5OCG62W,Red,False,White,Same,23,32
1,A2VV5VCLEUSS84,Red,True,Red,Same,0,18
1,A2VV5VCLEUSS84,Red,True,Red,Same,1,18
1,A2VV5VCLEUSS84,Red,True,Red,Same,2,20
